district	state	districtno	incumbent	party	gopcode	support	oppose	strongsupport	strongoppose	clinton	trump	id
NY-24	NY	24	Rep. Katko	R	1	33	51	10	39	48.9	45.3	3624
NY-19	NY	19	Rep. Faso	R	1	35	48	11	36	44	50.8	3619
NY-02	NY	02	Rep. King	R	1	36	47	12	35	43.9	53	3602
NY-11	NY	11	Rep. Donovan	R	1	36	47	12	35	43.8	53.6	3611
NY-01	NY	01	Rep. Zeldin	R	1	37	46	12	34	42.2	54.5	3601
NY-21	NY	21	Rep. Stefanik	R	1	37	45	12	33	40	53.9	3621
NY-22	NY	22	Rep. Tenney	R	1	38	45	12	33	39.3	54.8	3622
NY-23	NY	23	Rep. Reed	R	1	38	45	12	33	39.7	54.5	3623
NY-27	NY	27	Rep. Collins	R	1	40	42	13	30	35.2	59.7	3627
OH-01	OH	01	Rep. Chabot	R	1	35	48	11	36	44.6	51.2	3901
OH-10	OH	10	Rep. Turner	R	1	36	47	12	35	44	51.3	3910
OH-12	OH	12	Rep. Tiberi	R	1	37	46	12	34	41.9	53.2	3912
OH-14	OH	14	Rep. Joyce	R	1	37	46	12	34	42.1	53.6	3914
OH-02	OH	02	Rep. Wenstrup	R	1	38	44	12	33	39.7	55.8	3902
OH-15	OH	15	Rep. Stivers	R	1	38	45	12	33	39.9	55.3	3915
OH-16	OH	16	Rep. Renacci	R	1	38	44	12	32	39.5	56.1	3916
OH-05	OH	05	Rep. Latta	R	1	40	41	13	30	34.6	59.7	3905
OH-07	OH	07	Rep. Gibbs	R	1	42	40	14	28	32.8	62.5	3907
OH-04	OH	04	Rep. Jordan	R	1	43	39	14	27	30.7	64.3	3904
OH-08	OH	08	Rep. Davidson	R	1	43	38	14	26	30.6	65.1	3908
OH-06	OH	06	Rep. Johnson	R	1	45	35	15	24	26.7	69.3	3906
OK-05	OK	05	Rep. Russell	R	1	37	45	12	33	39.8	53.2	4005
OK-01	OK	01	Rep. Bridenstine	R	1	41	40	14	28	32.7	61.4	4001
OK-04	OK	04	Rep. Cole	R	1	44	37	15	25	28.3	65.7	4004
OK-02	OK	02	Rep. Mullin	R	1	47	33	16	21	22.8	72.9	4002
OK-03	OK	03	Rep. Lucas	R	1	48	32	16	20	20.9	73.6	4003
OR-02	OR	02	Rep. Walden	R	1	39	43	13	31	36.4	56.5	4102
PA-07	PA	07	Rep. Meehan	R	1	33	51	11	39	49.3	47	4207
PA-06	PA	06	Rep. Costello	R	1	34	50	11	38	48.2	47.6	4206
PA-08	PA	08	Rep. Fitzpatrick	R	1	34	50	11	38	48	48.2	4208
PA-16	PA	16	Rep. Smucker	R	1	35	48	11	36	44.2	51	4216
PA-15	PA	15	Rep. Dent	R	1	36	47	12	35	44.2	51.8	4215
PA-04	PA	04	Rep. Perry	R	1	39	43	13	31	37.1	58.6	4204
PA-12	PA	12	Rep. Rothfus	R	1	39	43	13	31	37.9	58.7	4212
PA-18	PA	18	Rep. Murphy	R	1	39	43	13	31	38.5	58.1	4218
PA-11	PA	11	Rep. Barletta	R	1	40	42	13	30	36.2	60	4211
PA-03	PA	03	Rep. Kelly	R	1	41	41	13	29	35	61.1	4203
PA-05	PA	05	Rep. Thompson	R	1	41	40	14	28	33.5	62.3	4205
PA-10	PA	10	Rep. Marino	R	1	43	38	14	26	30.2	66.1	4210
PA-09	PA	09	Rep. Schuster	R	1	45	36	15	24	27.2	69.7	4209
SC-01	SC	01	Rep. Sanford	R	1	37	45	12	33	40.4	53.5	4501
SC-02	SC	02	Rep. Wilson	R	1	38	44	13	32	38.6	56.3	4502
SC-07	SC	07	Rep. Rice	R	1	39	44	13	32	39.1	58	4507
SC-04	SC	04	Rep. Gowdy	R	1	41	41	13	29	34.5	60.2	4504
SC-03	SC	03	Rep. Duncan	R	1	44	37	15	25	29	67	4503
SD-00	SD	00	Rep. Noem	R	1	42	40	14	28	31.7	61.5	4600
TN-02	TN	02	Rep. Duncan	R	1	43	38	14	26	29.7	65.1	4702
TN-03	TN	03	Rep. Fleischmann	R	1	43	38	14	26	30.2	65.4	4703
TN-08	TN	08	Rep. Kustoff	R	1	43	38	14	26	30.7	66.3	4708
TN-07	TN	07	Rep. Blackburn	R	1	44	37	15	25	28.2	67.5	4707
TN-04	TN	04	Rep. DesJarlais	R	1	45	36	15	24	27.4	68.6	4704
TN-06	TN	06	Rep. Black	R	1	47	33	16	22	23.7	72.6	4706
TN-01	TN	01	Rep. Roe	R	1	49	31	17	19	19.7	76.7	4701
TX-07	TX	07	Rep. Culberson	R	1	33	50	11	38	48.5	47.1	4807
TX-23	TX	23	Rep. Hurd	R	1	33	51	11	39	49.8	46.4	4823
TX-32	TX	32	Rep. Sessions	R	1	33	51	11	38	48.5	46.6	4832
TX-24	TX	24	Rep. Marchant	R	1	35	48	11	36	44.5	50.7	4824
TX-02	TX	02	Rep. Poe	R	1	36	47	12	35	43.1	52.4	4802
TX-10	TX	10	Rep. McCaul	R	1	36	47	12	35	43.2	52.3	4810
TX-21	TX	21	Rep. Smith	R	1	36	47	12	35	42.5	52.5	4821
TX-22	TX	22	Rep. Olson	R	1	36	47	12	35	44.2	52.1	4822
TX-03	TX	03	Rep. Johnson	R	1	37	45	12	33	40.6	54.8	4803
TX-06	TX	06	Rep. Barton	R	1	37	46	12	34	41.9	54.2	4806
TX-31	TX	31	Rep. Carter	R	1	37	46	12	34	40.8	53.5	4831
TX-17	TX	17	Rep. Flores	R	1	38	44	13	32	38.8	56.3	4817
TX-25	TX	25	Rep. Williams	R	1	38	45	12	33	40.2	55.1	4825
TX-14	TX	14	Rep. Weber	R	1	39	43	13	31	38.4	58.2	4814
TX-27	TX	27	Rep. Farenthold	R	1	40	42	13	30	36.5	60.1	4827
TX-05	TX	05	Rep. Hensarling	R	1	41	40	14	29	34.3	62.7	4805
TX-26	TX	26	Rep. Burgess	R	1	41	41	13	29	34.4	60.9	4826
TX-12	TX	12	Rep. Granger	R	1	42	40	14	28	32.7	62.9	4812
TX-01	TX	01	Rep. Gohmert	R	1	46	34	16	22	25.3	72.2	4801
TX-36	TX	36	Rep. Babin	R	1	46	34	16	22	25.2	72	4836
TX-08	TX	08	Rep. Brady	R	1	47	33	16	22	23.9	72.7	4808
TX-19	TX	19	Rep. Arrington	R	1	47	33	16	22	23.5	72.5	4819
TX-04	TX	04	Rep. Ratcliffe	R	1	48	32	16	20	21.8	75.4	4804
TX-11	TX	11	Rep. Conaway	R	1	50	30	17	19	19.1	77.8	4811
TX-13	TX	13	Rep. Thornberry	R	1	51	29	17	17	16.9	79.9	4813
UT-04	UT	04	Rep. Love	R	1	34	47	11	35	32.4	39.1	4904
UT-02	UT	02	Rep. Stewart	R	1	36	45	12	33	32	46	4902
UT-03	UT	03	Rep. Chaffetz	R	1	38	42	12	29	23.3	47.2	4903
UT-01	UT	01	Rep. Bishop	R	1	39	40	13	28	22.4	49.7	4901
VA-10	VA	10	Rep. Comstock	R	1	31	53	10	41	52.2	42.2	5110
VA-02	VA	02	Rep. Taylor	R	1	34	49	11	37	45.4	48.8	5102
VA-07	VA	07	Rep. Brat	R	1	35	48	11	36	44	50.5	5107
VA-01	VA	01	Rep. Wittman	R	1	37	46	12	34	41.2	53.6	5101
VA-05	VA	05	Rep. Garrett	R	1	37	46	12	34	42.3	53.4	5105
VA-06	VA	06	Rep. Goodlatte	R	1	40	42	13	30	34.9	59.7	5106
VA-09	VA	09	Rep. Griffith	R	1	45	36	15	24	27.3	68.8	5109
WA-08	WA	08	Rep. Reichert	R	1	33	51	10	39	47.7	44.7	5308
WA-03	WA	03	Rep. Herrera Beutler	R	1	35	47	11	35	42.5	49.9	5303
WA-05	WA	05	Rep. McMorris Rodgers	R	1	37	45	12	33	39.1	52.2	5305
WA-04	WA	04	Rep. Newhouse	R	1	40	42	13	30	35.1	57.9	5304
WI-01	WI	01	Rep. Ryan	R	1	36	46	12	34	42.3	52.6	5501
WI-06	WI	06	Rep. Grothman	R	1	38	44	12	32	38.8	55.7	5506
WI-08	WI	08	Rep. Gallagher	R	1	38	44	13	32	38.6	56.2	5508
WI-05	WI	05	Rep. Sensenbrenner	R	1	39	43	13	31	37.3	57.4	5505
WI-07	WI	07	Rep. Duffy	R	1	39	43	13	31	37.3	57.8	5507
WV-02	WV	02	Rep. Mooney	R	1	43	38	14	26	29.4	65.8	5402
WV-01	WV	01	Rep. McKinley	R	1	45	36	15	24	26.4	68	5401
WV-03	WV	03	Rep. Jenkins	R	1	47	33	16	22	23.3	72.5	5403
WY-00	WY	00	Rep. Cheney	R	1	46	34	15	22	22.5	70.1	5600
CA-34	CA	34	Vacant	V	V	14	75	3	62	83.6	10.7	0634
DC-00	DC	00	Vacant	V	V	10	79	2	66	91	4	1100
GA-06	GA	06	Vacant	V	V	34	49	11	37	46.8	48.3	1306
KS-04	KS	04	Vacant	V	V	41	41	13	29	33	60.2	2004
MT-00	MT	00	Vacant	V	V	39	43	13	31	35.9	56.5	3000
SC-05	SC	05	Vacant	V	V	39	44	13	32	38.8	57.3	4505
