district	state	districtno	incumbent	party	gopcode	support	oppose	strongsupport	strongoppose	clinton	trump	id
IL-11	IL	11	Rep. Foster	D	0	27	58	8	46	58.9	35.4	1711
IL-08	IL	08	Rep. Krishnamoorthi	D	0	28	57	9	45	58.1	36.4	1708
IL-03	IL	03	Rep. Lipinski	D	0	29	55	9	43	55.2	39.9	1703
IL-17	IL	17	Rep. Bustos	D	0	34	50	11	38	46.7	47.4	1717
IN-07	IN	07	Rep. Carson	D	0	27	58	9	45	59	36.2	1807
IN-01	IN	01	Rep. Visclosky	D	0	30	54	10	42	54.1	41.5	1801
KY-03	KY	03	Rep. Yarmuth	D	0	30	55	9	43	54.9	39.9	2103
LA-02	LA	02	Rep. Richmond	D	0	20	68	6	55	74.6	22.2	2202
MA-07	MA	07	Rep. Capuano	D	0	14	75	4	62	84.1	11.9	2507
MA-05	MA	05	Rep. Clark	D	0	22	65	6	52	69.3	25.7	2505
MA-03	MA	03	Rep. Tsongas	D	0	27	58	8	45	58.2	35.4	2503
MA-04	MA	04	Rep. Kennedy	D	0	27	58	8	46	59.2	35	2504
MA-08	MA	08	Rep. Lynch	D	0	27	59	8	46	60.4	34.4	2508
MA-01	MA	01	Rep. Neal	D	0	28	57	9	45	57.2	36.5	2501
MA-02	MA	02	Rep. McGovern	D	0	28	57	9	44	56.2	36.8	2502
MA-06	MA	06	Rep. Moulton	D	0	29	56	9	44	56.1	38.2	2506
MA-09	MA	09	Rep. Keating	D	0	31	54	10	41	52.5	41.8	2509
MD-04	MD	04	Rep. Brown	D	0	18	70	5	57	77.7	19.2	2404
MD-07	MD	07	Rep. Cummings	D	0	19	69	5	56	75.5	20.5	2407
MD-03	MD	03	Rep. Sarbanes	D	0	25	60	8	48	62.9	32.1	2403
MD-05	MD	05	Rep. Hoyer	D	0	25	61	8	48	63.6	32.6	2405
MD-08	MD	08	Rep. Raskin	D	0	25	61	7	49	64.6	30.9	2408
MD-02	MD	02	Rep. Ruppersberger	D	0	27	58	8	46	60.2	35.6	2402
MD-06	MD	06	Rep. Delaney	D	0	29	55	9	43	55.8	39.7	2406
ME-01	ME	01	Rep. Pingree	D	0	29	55	9	43	54.1	39.3	2301
MI-13	MI	13	Rep. Conyers	D	0	17	71	5	58	78.8	18.1	2613
MI-14	MI	14	Rep. Lawrence	D	0	17	71	5	58	79.2	18.3	2614
MI-12	MI	12	Rep. Dingell	D	0	27	59	8	47	60.8	34.5	2612
MI-05	MI	05	Rep. Kildee	D	0	32	51	10	39	49.7	45.5	2605
MI-09	MI	09	Rep. Levin	D	0	32	53	10	40	51.5	43.7	2609
MN-05	MN	05	Rep. Ellison	D	0	18	69	5	56	73.7	18.5	2705
MN-04	MN	04	Rep. McCollum	D	0	25	60	8	48	61.5	30.6	2704
MN-01	MN	01	Rep. Walz	D	0	37	45	12	33	38.4	53.3	2701
MN-08	MN	08	Rep. Nolan	D	0	38	45	12	33	38.6	54.2	2708
MN-07	MN	07	Rep. Peterson	D	0	42	39	14	28	31	61.8	2707
MO-01	MO	01	Rep. Clay	D	0	18	70	5	57	77	18.8	2901
MO-05	MO	05	Rep. Cleaver	D	0	30	55	9	42	54.1	40.6	2905
MS-02	MS	02	Rep. Thompson	D	0	26	60	8	47	63.6	35.1	2802
NC-04	NC	04	Rep. Price	D	0	23	64	7	51	68.2	28.2	3704
NC-12	NC	12	Rep. Adams	D	0	23	64	7	51	68.4	28.4	3712
NC-01	NC	01	Rep. Butterfield	D	0	24	63	7	50	67.5	30.5	3701
NH-02	NH	02	Rep. Kuster	D	0	33	51	11	39	48.6	46.2	3302
NH-01	NH	01	Rep. Shea-Porter	D	0	34	49	11	37	46.6	48.2	3301
NJ-10	NJ	10	Rep. Payne	D	0	14	75	4	62	85.2	12.8	3410
NJ-08	NJ	08	Rep. Sires	D	0	19	68	5	56	75.7	21.5	3408
NJ-09	NJ	09	Rep. Pascrell	D	0	25	61	8	48	64.3	33.1	3409
NJ-12	NJ	12	Rep. Watson Coleman	D	0	25	61	8	49	65	31.8	3412
NJ-01	NJ	01	Rep. Norcross	D	0	27	58	8	46	60.6	36.1	3401
NJ-06	NJ	06	Rep. Pallone	D	0	30	55	9	43	56.2	40.6	3406
NJ-05	NJ	05	Rep. Gottheimer	D	0	34	50	11	38	47.7	48.8	3405
NM-01	NM	01	Rep. Lujan Grisham	D	0	28	55	9	43	51.6	35.1	3501
NM-03	NM	03	Rep. Lujan	D	0	29	55	9	43	51.8	36.7	3503
NV-01	NV	01	Rep. Titus	D	0	26	60	8	47	61.6	32.6	3201
NV-04	NV	04	Rep. Kihuen	D	0	32	52	10	39	49.5	44.6	3204
NV-03	NV	03	Rep. Rosen	D	0	34	50	11	37	46.5	47.5	3203
NY-13	NY	13	Rep. Espaillat	D	0	10	80	2	67	92.3	5.4	3613
NY-15	NY	15	Rep. Serrano	D	0	10	80	2	67	93.8	4.9	3615
NY-07	NY	07	Rep. Velazquez	D	0	13	76	3	63	86.9	10.4	3607
NY-05	NY	05	Rep. Meeks	D	0	14	75	4	62	85.7	12.7	3605
NY-08	NY	08	Rep. Jeffries	D	0	15	74	4	61	84.6	13.5	3608
NY-09	NY	09	Rep. Clarke	D	0	15	73	4	61	83.5	14.4	3609
NY-12	NY	12	Rep. Maloney	D	0	15	74	4	61	83.3	13.5	3612
NY-10	NY	10	Rep. Nadler	D	0	18	70	5	58	78.3	18.8	3610
NY-14	NY	14	Rep. Crowley	D	0	18	70	5	57	77.7	19.8	3614
NY-16	NY	16	Rep. Engel	D	0	20	68	6	55	75.1	22.5	3616
NY-06	NY	06	Rep. Meng	D	0	25	61	8	49	65.1	32.1	3606
NY-17	NY	17	Rep. Lowey	D	0	28	57	9	45	58.6	38.4	3617
NY-26	NY	26	Rep. Higgins	D	0	28	57	9	44	57.6	38	3626
NY-25	NY	25	Rep. Slaughter	D	0	29	56	9	43	55.5	39.1	3625
NY-20	NY	20	Rep. Tonko	D	0	30	55	9	42	54	40.5	3620
