month_label,day,value,month,rank,rank_label,birthdate,conception_date
Jan,22,10756,1,304,304th,Jan. 22,5/1
Nov,29,10761,11,303,303rd,Nov. 29,3/8
Apr,15,10765,4,302,302nd,April 15,7/23
May,25,10773,5,301,301st,May 25,9/1
Feb,5,10773,2,300,300th,Feb.  5,5/15
Apr,30,10775,4,299,299th,April 30,8/7
Feb,24,10777,2,298,298th,Feb.  24,6/3
Sep,2,10779,9,297,297th,Sept. 2,12/10
Mar,24,10783,3,296,296th,March 24,7/1
Feb,9,10784,2,295,295th,Feb.  9,5/19
Jan,6,10791,1,294,294th,Jan. 6,4/15
Apr,8,10795,4,293,293rd,April 8,7/16
May,18,10796,5,292,292nd,May 18,8/25
Mar,10,10800,3,291,291st,March 10,6/17
Mar,11,10808,3,290,290th,March 11,6/18
Feb,23,10813,2,289,289th,Feb.  23,6/2
Jan,21,10813,1,288,288th,Jan. 21,4/30
Feb,26,10819,2,287,287th,Feb.  26,6/5
Jan,30,10819,1,286,286th,Jan. 30,5/9
Jan,12,10825,1,285,285th,Jan. 12,4/21
Nov,9,10830,11,284,284th,Nov. 9,2/16
Oct,26,10832,10,283,283rd,Oct. 26,2/2
Mar,18,10833,3,282,282nd,March 18,6/25
Dec,14,10837,12,281,281st,Dec.  14,3/23
Feb,16,10846,2,280,280th,Feb.  16,5/26
Jan,28,10847,1,279,279th,Jan. 28,5/7
May,6,10851,5,278,278th,May 6,8/13
May,19,10858,5,277,277th,May 19,8/26
Feb,2,10863,2,276,276th,Feb.  2,5/12
Jan,5,10865,1,275,275th,Jan. 5,4/14
Feb,6,10865,2,274,274th,Feb.  6,5/16
May,12,10870,5,273,273rd,May 12,8/19
Mar,13,10872,3,272,272nd,March 13,6/20
Apr,9,10878,4,271,271st,April 9,7/17
Mar,25,10879,3,270,270th,March 25,7/2
Oct,27,10884,10,269,269th,Oct. 27,2/3
Mar,4,10886,3,268,268th,March 4,6/11
Feb,10,10891,2,267,267th,Feb.  10,5/20
Apr,23,10895,4,266,266th,April 23,7/31
May,31,10900,5,265,265th,May 31,9/7
Dec,13,10906,12,264,264th,Dec.  13,3/22
Feb,4,10909,2,263,263rd,Feb.  4,5/14
Jun,8,10914,6,262,262nd,June 8,9/15
Nov,10,10914,11,261,261st,Nov. 10,2/17
Mar,29,10916,3,260,260th,March 29,7/6
Jan,23,10917,1,259,259th,Jan. 23,5/2
Oct,20,10923,10,258,258th,Oct. 20,1/27
Feb,27,10926,2,257,257th,Feb.  27,6/6
Mar,26,10926,3,256,256th,March 26,7/3
Feb,18,10930,2,255,255th,Feb.  18,5/28
Oct,12,10931,10,254,254th,Oct. 12,1/19
Nov,16,10931,11,253,253rd,Nov. 16,2/23
May,5,10932,5,252,252nd,May 5,8/12
Jun,9,10936,6,251,251st,June 9,9/16
Mar,19,10943,3,250,250th,March 19,6/26
Apr,26,10944,4,249,249th,April 26,8/3
May,29,10945,5,248,248th,May 29,9/5
Oct,21,10946,10,247,247th,Oct. 21,1/28
Apr,16,10959,4,246,246th,April 16,7/24
Apr,19,10959,4,244,244th,April 19,7/27
Nov,13,10959,11,244,244th,Nov. 13,2/20
Apr,5,10960,4,243,243rd,April 5,7/13
Jan,7,10961,1,242,242nd,Jan. 7,4/16
Jun,15,10969,6,241,241st,June 15,9/22
Jan,18,10969,1,240,240th,Jan. 18,4/27
Mar,3,10971,3,239,239th,March 3,6/10
Feb,20,10971,2,238,238th,Feb.  20,5/30
Nov,2,10976,11,237,237th,Nov. 2,2/9
May,3,10978,5,236,236th,May 3,8/10
May,7,10978,5,235,235th,May 7,8/14
Nov,17,10986,11,234,234th,Nov. 17,2/24
Feb,12,10990,2,233,233rd,Feb.  12,5/22
Mar,5,10995,3,232,232nd,March 5,6/12
Feb,25,10995,2,231,231st,Feb.  25,6/4
Nov,3,10995,11,230,230th,Nov. 3,2/10
Jan,14,10997,1,229,229th,Jan. 14,4/23
Mar,17,10998,3,228,228th,March 17,6/24
Dec,6,11001,12,227,227th,Dec.  6,3/15
Oct,28,11003,10,226,226th,Oct. 28,2/4
Dec,10,11010,12,225,225th,Dec.  10,3/19
Jun,22,11010,6,224,224th,June 22,9/29
Feb,1,11016,2,223,223rd,Feb.  1,5/11
Nov,4,11018,11,222,222nd,Nov. 4,2/11
Nov,11,11022,11,221,221st,Nov. 11,2/18
Jan,25,11023,1,220,220th,Jan. 25,5/4
Jan,3,11024,1,219,219th,Jan. 3,4/12
Mar,12,11032,3,218,218th,March 12,6/19
Feb,11,11032,2,216,216th,Feb.  11,5/21
Mar,22,11032,3,216,216th,March 22,6/29
Oct,14,11035,10,215,215th,Oct. 14,1/21
Apr,12,11043,4,214,214th,April 12,7/20
Oct,30,11044,10,213,213th,Oct. 30,2/6
Dec,15,11045,12,212,212th,Dec.  15,3/24
Mar,8,11047,3,211,211th,March 8,6/15
Apr,2,11047,4,210,210th,April 2,7/10
Jan,31,11051,1,209,209th,Jan. 31,5/10
Jan,11,11051,1,208,208th,Jan. 11,4/20
Nov,18,11055,11,207,207th,Nov. 18,2/25
May,20,11059,5,206,206th,May 20,8/27
Dec,2,11061,12,205,205th,Dec.  2,3/11
Oct,29,11062,10,204,204th,Oct. 29,2/5
Jan,17,11065,1,203,203rd,Jan. 17,4/26
Dec,1,11067,12,202,202nd,Dec.  1,3/10
Jun,1,11067,6,201,201st,June 1,9/8
Jul,13,11073,7,200,200th,July 13,10/20
Apr,10,11073,4,199,199th,April 10,7/18
Apr,24,11074,4,198,198th,April 24,8/1
Sep,3,11076,9,197,197th,Sept. 3,12/11
Jun,23,11083,6,196,196th,June 23,9/30
Mar,15,11091,3,195,195th,March 15,6/22
May,14,11097,5,194,194th,May 14,8/21
Jun,10,11107,6,193,193rd,June 10,9/17
Jun,3,11109,6,192,192nd,June 3,9/10
Nov,12,11111,11,191,191st,Nov. 12,2/19
Mar,27,11113,3,190,190th,March 27,7/4
Mar,6,11121,3,189,189th,March 6,6/13
Apr,3,11124,4,188,188th,April 3,7/11
Jun,16,11126,6,187,187th,June 16,9/23
Dec,11,11131,12,186,186th,Dec.  11,3/20
Jan,4,11132,1,185,185th,Jan. 4,4/13
Jun,17,11134,6,184,184th,June 17,9/24
Apr,17,11141,4,183,183rd,April 17,7/25
Feb,8,11144,2,182,182nd,Feb.  8,5/18
May,10,11151,5,181,181st,May 10,8/17
Feb,21,11174,2,180,180th,Feb.  21,5/31
Oct,5,11181,10,179,179th,Oct. 5,1/12
Jun,2,11183,6,178,178th,June 2,9/9
Oct,6,11183,10,177,177th,Oct. 6,1/13
May,17,11193,5,176,176th,May 17,8/24
Mar,1,11195,3,175,175th,March 1,6/8
May,8,11197,5,174,174th,May 8,8/15
Dec,3,11199,12,173,173rd,Dec.  3,3/12
Dec,4,11201,12,172,172nd,Dec.  4,3/13
Feb,22,11201,2,171,171st,Feb.  22,6/1
Jun,11,11204,6,170,170th,June 11,9/18
Jun,24,11207,6,169,169th,June 24,10/1
Oct,7,11207,10,168,168th,Oct. 7,1/14
Oct,22,11207,10,167,167th,Oct. 22,1/29
Oct,18,11212,10,166,166th,Oct. 18,1/25
Jun,7,11214,6,165,165th,June 7,9/14
Jan,24,11215,1,164,164th,Jan. 24,5/3
May,30,11216,5,163,163rd,May 30,9/6
Apr,18,11217,4,162,162nd,April 18,7/26
Jun,4,11224,6,161,161st,June 4,9/11
Nov,5,11227,11,160,160th,Nov. 5,2/12
Feb,28,11227,2,159,159th,Feb.  28,6/7
May,1,11229,5,158,158th,May 1,8/8
Jan,10,11229,1,157,157th,Jan. 10,4/19
Aug,3,11229,8,156,156th,Aug. 3,11/10
Apr,25,11234,4,155,155th,April 25,8/2
Mar,20,11235,3,154,154th,March 20,6/27
Dec,16,11240,12,153,153rd,Dec.  16,3/25
Oct,25,11249,10,152,152nd,Oct. 25,2/1
Nov,8,11253,11,151,151st,Nov. 8,2/15
Dec,22,11253,12,150,150th,Dec.  22,3/31
Jun,13,11254,6,149,149th,June 13,9/20
Jun,29,11259,6,148,148th,June 29,10/6
Feb,15,11279,2,147,147th,Feb.  15,5/25
May,9,11280,5,146,146th,May 9,8/16
Mar,28,11281,3,145,145th,March 28,7/5
Oct,15,11281,10,144,144th,Oct. 15,1/22
Oct,23,11286,10,143,143rd,Oct. 23,1/30
May,21,11288,5,142,142nd,May 21,8/28
Nov,15,11291,11,141,141st,Nov. 15,2/22
Jul,27,11294,7,140,140th,July 27,11/3
Nov,6,11305,11,139,139th,Nov. 6,2/13
Apr,11,11305,4,138,138th,April 11,7/19
Mar,7,11305,3,137,137th,March 7,6/14
Nov,19,11310,11,136,136th,Nov. 19,2/26
Feb,7,11316,2,135,135th,Feb.  7,5/17
Jul,20,11319,7,134,134th,July 20,10/27
Oct,11,11332,10,133,133rd,Oct. 11,1/18
Aug,24,11341,8,132,132nd,Aug. 24,12/1
Oct,16,11342,10,131,131st,Oct. 16,1/23
Oct,8,11348,10,130,130th,Oct. 8,1/15
Jun,21,11348,6,129,129th,June 21,9/28
May,2,11352,5,128,128th,May 2,8/9
Jun,14,11353,6,127,127th,June 14,9/21
Oct,9,11362,10,126,126th,Oct. 9,1/16
Sep,7,11365,9,125,125th,Sept. 7,12/15
Dec,5,11366,12,124,124th,Dec.  5,3/14
Mar,14,11368,3,123,123rd,March 14,6/21
Jun,18,11371,6,122,122nd,June 18,9/25
Sep,30,11371,9,121,121st,Sept. 30,1/7
Jun,5,11372,6,120,120th,June 5,9/12
Aug,10,11375,8,119,119th,Aug. 10,11/17
Jun,19,11388,6,118,118th,June 19,9/26
Sep,4,11391,9,117,117th,Sept. 4,12/12
May,15,11392,5,116,116th,May 15,8/22
Jul,6,11397,7,115,115th,July 6,10/13
Jun,30,11402,6,114,114th,June 30,10/7
Aug,4,11404,8,113,113th,Aug. 4,11/11
Nov,1,11409,11,112,112th,Nov. 1,2/8
Mar,21,11414,3,111,111th,March 21,6/28
Sep,29,11431,9,110,110th,Sept. 29,1/6
Aug,25,11434,8,109,109th,Aug. 25,12/2
Apr,4,11439,4,108,108th,April 4,7/12
Aug,11,11441,8,107,107th,Aug. 11,11/18
Jun,12,11441,6,106,106th,June 12,9/19
May,24,11444,5,105,105th,May 24,8/31
Jun,25,11447,6,104,104th,June 25,10/2
Aug,17,11448,8,103,103rd,Aug. 17,11/24
Jul,28,11449,7,102,102nd,July 28,11/4
Aug,31,11456,8,101,101st,Aug. 31,12/8
Nov,14,11468,11,100,100th,Nov. 14,2/21
Jul,29,11471,7,99,99th,July 29,11/5
Sep,28,11471,9,98,98th,Sept. 28,1/5
Aug,5,11488,8,97,97th,Aug. 5,11/12
Jun,6,11489,6,96,96th,June 6,9/13
Aug,13,11505,8,95,95th,Aug. 13,11/20
Aug,26,11506,8,94,94th,Aug. 26,12/3
Oct,24,11508,10,93,93rd,Oct. 24,1/31
Aug,19,11509,8,92,92nd,Aug. 19,11/26
May,22,11510,5,91,91st,May 22,8/29
Jul,21,11510,7,90,90th,July 21,10/28
Nov,7,11516,11,89,89th,Nov. 7,2/14
May,16,11517,5,88,88th,May 16,8/23
Jul,14,11518,7,87,87th,July 14,10/21
Aug,18,11523,8,86,86th,Aug. 18,11/25
Sep,6,11523,9,85,85th,Sept. 6,12/14
Oct,17,11524,10,84,84th,Oct. 17,1/24
Dec,17,11537,12,83,83rd,Dec.  17,3/26
Jul,22,11558,7,82,82nd,July 22,10/29
Dec,21,11563,12,81,81st,Dec.  21,3/30
Jul,3,11568,7,80,80th,July 3,10/10
Oct,4,11577,10,79,79th,Oct. 4,1/11
Aug,6,11618,8,78,78th,Aug. 6,11/13
Jun,26,11618,6,77,77th,June 26,10/3
Jul,12,11622,7,76,76th,July 12,10/19
Jul,19,11622,7,75,75th,July 19,10/26
Jul,15,11624,7,74,74th,July 15,10/22
Aug,12,11624,8,73,73rd,Aug. 12,11/19
Jun,28,11626,6,72,72nd,June 28,10/5
Jul,26,11642,7,71,71st,July 26,11/2
Aug,2,11645,8,70,70th,Aug. 2,11/9
Jul,30,11653,7,69,69th,July 30,11/6
Dec,12,11683,12,68,68th,Dec.  12,3/21
Nov,20,11696,11,67,67th,Nov. 20,2/27
Jun,20,11712,6,66,66th,June 20,9/27
Sep,21,11715,9,65,65th,Sept. 21,12/29
Jul,1,11724,7,64,64th,July 1,10/8
Jul,23,11724,7,63,63rd,July 23,10/30
Aug,23,11729,8,62,62nd,Aug. 23,11/30
Sep,11,11737,9,61,61st,Sept. 11,12/19
Jul,31,11747,7,60,60th,July 31,11/7
Dec,28,11759,12,59,59th,Dec.  28,4/6
Oct,1,11761,10,58,58th,Oct. 1,1/8
Sep,5,11769,9,57,57th,Sept. 5,12/13
Sep,22,11773,9,56,56th,Sept. 22,12/30
May,23,11774,5,55,55th,May 23,8/30
Aug,27,11778,8,54,54th,Aug. 27,12/4
Sep,14,11784,9,53,53rd,Sept. 14,12/22
Oct,10,11786,10,52,52nd,Oct. 10,1/17
Aug,9,11791,8,51,51st,Aug. 9,11/16
Dec,30,11791,12,50,50th,Dec.  30,4/8
Dec,27,11792,12,49,49th,Dec.  27,4/5
Nov,21,11793,11,48,48th,Nov. 21,2/28
Jul,8,11794,7,47,47th,July 8,10/15
Jul,16,11801,7,46,46th,July 16,10/23
Jul,9,11803,7,45,45th,July 9,10/16
Aug,20,11806,8,44,44th,Aug. 20,11/27
Aug,7,11812,8,43,43rd,Aug. 7,11/14
Dec,29,11816,12,42,42nd,Dec.  29,4/7
Sep,8,11817,9,41,41st,Sept. 8,12/16
Jun,27,11829,6,40,40th,June 27,10/4
Feb,14,11833,2,39,39th,Feb.  14,5/24
Oct,2,11836,10,38,38th,Oct. 2,1/9
Jul,24,11848,7,37,37th,July 24,10/31
Aug,16,11861,8,36,36th,Aug. 16,11/23
Sep,23,11864,9,35,35th,Sept. 23,12/31
Jul,2,11876,7,34,34th,July 2,10/9
Sep,13,11876,9,33,33rd,Sept. 13,12/21
Aug,21,11880,8,32,32nd,Aug. 21,11/28
Aug,30,11883,8,31,31st,Aug. 30,12/7
Aug,14,11899,8,30,30th,Aug. 14,11/21
Oct,3,11911,10,29,29th,Oct. 3,1/10
Jul,7,11927,7,28,28th,July 7,10/14
Sep,27,11929,9,27,27th,Sept. 27,1/4
Sep,15,11942,9,26,26th,Sept. 15,12/23
Sep,16,11953,9,25,25th,Sept. 16,12/24
Dec,18,11955,12,24,24th,Dec.  18,3/27
Jul,17,11957,7,23,23rd,July 17,10/24
Jul,10,11976,7,22,22nd,July 10,10/17
Jul,25,11984,7,21,21st,July 25,11/1
Sep,24,12000,9,20,20th,Sept. 24,1/1
Aug,1,12004,8,19,19th,Aug. 1,11/8
Jul,11,12024,7,18,18th,July 11,10/18
Jul,18,12030,7,17,17th,July 18,10/25
Aug,22,12064,8,16,16th,Aug. 22,11/29
Aug,28,12092,8,15,15th,Aug. 28,12/5
Dec,20,12112,12,14,14th,Dec.  20,3/29
Sep,25,12123,9,13,13th,Sept. 25,1/2
Sep,9,12131,9,12,12th,Sept. 9,12/17
Aug,15,12152,8,11,11th,Aug. 15,11/22
Aug,29,12160,8,10,10th,Aug. 29,12/6
Sep,10,12165,9,9,9th,Sept. 10,12/18
Aug,8,12185,8,8,8th,Aug. 8,11/15
Sep,17,12189,9,7,7th,Sept. 17,12/25
Sep,20,12208,9,6,6th,Sept. 20,12/28
Dec,19,12209,12,5,5th,Dec.  19,3/28
Sep,26,12246,9,4,4th,Sept. 26,1/3
Sep,18,12291,9,3,3rd,Sept. 18,12/26
Sep,12,12464,9,2,2nd,Sept. 12,12/20
Sep,19,12468,9,1,1st,Sept. 19,12/27
