month_label,day,value,month,rank,rank_label,birthdate,conception_date
Dec,25,6596,12,366,366th,Dec.  25,4/3
Jan,1,7849,1,365,365th,Jan. 1,4/10
Dec,24,8098,12,364,364th,Dec.  24,4/2
Jul,4,8915,7,363,363rd,July 4,10/11
Jan,2,9437,1,362,362nd,Jan. 2,4/11
Nov,23,9650,11,361,361st,Nov. 23,3/2
Dec,26,9740,12,360,360th,Dec.  26,4/4
Nov,27,9936,11,359,359th,Nov. 27,3/6
Nov,24,9956,11,358,358th,Nov. 24,3/3
Nov,25,10049,11,357,357th,Nov. 25,3/4
Oct,31,10147,10,356,356th,Oct. 31,2/7
Apr,1,10166,4,355,355th,April 1,7/9
Nov,28,10205,11,354,354th,Nov. 28,3/7
May,26,10211,5,353,353rd,May 26,9/2
Nov,26,10242,11,352,352nd,Nov. 26,3/5
Apr,13,10265,4,351,351st,April 13,7/21
Dec,23,10286,12,350,350th,Dec.  23,4/1
May,27,10449,5,349,349th,May 27,9/3
Dec,31,10462,12,348,348th,Dec.  31,4/9
Jan,13,10495,1,347,347th,Jan. 13,4/22
Jul,5,10519,7,346,346th,July 5,10/12
Apr,6,10543,4,345,345th,April 6,7/14
Apr,27,10569,4,344,344th,April 27,8/4
Mar,30,10595,3,343,343rd,March 30,7/7
May,13,10598,5,342,342nd,May 13,8/20
Apr,20,10599,4,341,341st,April 20,7/28
Jan,19,10607,1,340,340th,Jan. 19,4/28
Oct,13,10615,10,339,339th,Oct. 13,1/20
Jan,15,10617,1,338,338th,Jan. 15,4/24
Nov,22,10619,11,337,337th,Nov. 22,3/1
Mar,31,10620,3,336,336th,March 31,7/8
May,4,10621,5,335,335th,May 4,8/11
Apr,29,10633,4,334,334th,April 29,8/6
Dec,7,10639,12,333,333rd,Dec.  7,3/16
Apr,21,10641,4,332,332nd,April 21,7/29
May,11,10650,5,331,331st,May 11,8/18
Mar,23,10654,3,330,330th,March 23,6/30
Jan,29,10662,1,329,329th,Jan. 29,5/8
Apr,28,10663,4,328,328th,April 28,8/5
Apr,14,10669,4,327,327th,April 14,7/22
Jan,20,10684,1,326,326th,Jan. 20,4/29
Mar,9,10685,3,325,325th,March 9,6/16
Jan,9,10687,1,324,324th,Jan. 9,4/18
Jan,16,10688,1,323,323rd,Jan. 16,4/25
Feb,17,10690,2,322,322nd,Feb.  17,5/27
Mar,16,10692,3,321,321st,March 16,6/23
Feb,13,10692,2,320,320th,Feb.  13,5/23
Feb,3,10694,2,319,319th,Feb.  3,5/13
Jan,27,10696,1,318,318th,Jan. 27,5/6
Feb,29,10701,2,317,317th,2/29/15,7/7
Mar,2,10712,3,316,316th,March 2,6/9
Apr,7,10715,4,315,315th,April 7,7/15
Jan,8,10715,1,314,314th,Jan. 8,4/17
Jan,26,10718,1,313,313th,Jan. 26,5/5
Sep,1,10721,9,312,312th,Sept. 1,12/9
Nov,30,10732,11,311,311th,Nov. 30,3/9
Feb,19,10736,2,310,310th,Feb.  19,5/29
May,28,10744,5,309,309th,May 28,9/4
Dec,8,10748,12,308,308th,Dec.  8,3/17
Dec,9,10749,12,307,307th,Dec.  9,3/18
Apr,22,10753,4,305,305th,April 22,7/30
Oct,19,10753,10,305,305th,Oct. 19,1/26
