location	population	id
1109072 Songcheon-dong	619	1109072
1109073 Samgaksan-dong	188	1109073
1109074 Ui-dong	185	1109074
1109075 Insu-dong	306	1109075
11100 Dobong-gu	2554	11100
1110051 Ssangmun 1(il)-dong	216	1110051
1110052 Ssangmun 2(i)-dong	171	1110052
1110053 Ssangmun 3(sam)-dong	201	1110053
1110054 Ssangmun 4(sa)-dong	77	1110054
1110055 Banghak 1(il)-dong	297	1110055
1110056 Banghak 2(i)-dong	261	1110056
1110057 Banghak 3(sam)-dong	88	1110057
1110059 Chang 1(il)-dong	201	1110059
1110060 Chang 2(i)-dong	283	1110060
1110061 Chang 3(sam)-dong	151	1110061
1110062 Chang 4(sa)-dong	105	1110062
1110063 Chang 5(o)-dong	164	1110063
1110064 Dobong 1(il)-dong	194	1110064
1110065 Dobong 2(i)-dong	145	1110065
11110 Nowon-gu	4726	11110
1111051 Wolgye 1(il)-dong	406	1111051
1111052 Wolgye 2(i)-dong	305	1111052
1111053 Wolgye 3(sam)-dong	205	1111053
1111056 Gongneung 2(i)-dong	988	1111056
1111058 Hagye 1(il)-dong	481	1111058
1111059 Hagye 2(i)-dong	72	1111059
1111060 Junggyebon-dong	105	1111060
1111061 Junggye 1(il)-dong	128	1111061
1111064 Junggye 4(sa)-dong	99	1111064
1111065 Sanggye 1(il)-dong	207	1111065
1111066 Sanggye 2(i)-dong	187	1111066
1111069 Sanggye 5(o)-dong	202	1111069
1111072 Sanggye 8(pal)-dong	51	1111072
1111073 Sanggye 9(gu)-dong	90	1111073
1111074 Sanggye 10(sip)-dong	90	1111074
1111076 Sanggye 3早4(sam早sa)-dong	236	1111076
1111077 Sanggye 6早7(yuk早chil)-dong	234	1111077
1111078 Junggye 2早3(i早sam)-dong	232	1111078
1111079 Gongneung 1(il)-dong	408	1111079
11120 Eunpyeong-gu	5599	11120
1112051 Nokbeon-dong	532	1112051
1112052 Bulgwang 1(il)-dong	509	1112052
1112055 Galhyeon 1(il)-dong	288	1112055
1112056 Galhyeon 2(i)-dong	400	1112056
1112057 Gusan-dong	291	1112057
1112058 Daejo-dong	503	1112058
1112059 Eungam 1(il)-dong	363	1112059
1112060 Eungam 2(i)-dong	276	1112060
1112065 Sinsa 1(il)-dong	258	1112065
1112066 Sinsa 2(i)-dong	169	1112066
1112067 Jeungsan-dong	214	1112067
1112068 Susaek-dong	245	1112068
1112071 Jingwan-dong	292	1112071
1112072 Bulgwang 2(i)-dong	391	1112072
1112073 Eungam 3(sam)-dong	366	1112073
1112074 Yeokchon-dong	502	1112074
11130 Seodaemun-gu	11007	11130
1113052 Cheonyeon-dong	304	1113052
1113062 Hongje 1(il)-dong	382	1113062
1113064 Hongje 3(sam)-dong	285	1113064
1113065 Hongje 2(i)-dong	202	1113065
1113066 Hongeun 1(il)-dong	305	1113066
1113068 Hongeun 2(i)-dong	656	1113068
1113069 Namgajwa 1(il)-dong	45	1113069
1113070 Namgajwa 2(i)-dong	834	1113070
1113071 Bukgajwa 1(il)-dong	247	1113071
1113072 Bukgajwa 2(i)-dong	365	1113072
1113073 Chunghyeon-dong	473	1113073
1113074 Bugahyeon-dong	304	1113074
1113075 Sinchon-dong	3998	1113075
1113076 Yeonhui-dong	2607	1113076
11140 Mapo-gu	11455	11140
1114059 Yonggang-dong	464	1114059
1114060 Daeheung-dong	1978	1114060
1114061 Yeomni-dong	1025	1114061
1114063 Sinsu-dong	418	1114063
1114066 Seogyo-dong	1444	1114066
1114068 Hapjeong-dong	490	1114068
1114069 Mangwon 1(il)-dong	519	1114069
1114070 Mangwon 2(i)-dong	232	1114070
1114071 Yeonnam-dong	995	1114071
1114072 Seongsan 1(il)-dong	484	1114072
1114073 Seongsan 2(i)-dong	284	1114073
1114074 Sangam-dong	515	1114074
1114075 Dohwa-dong	362	1114075
1114076 Seogang-dong	712	1114076
1114077 gongdeok-dong	865	1114077
1114078 Ahyeon-dong	668	1114078
11150 Yangcheon-gu	5847	11150
1115051 Mok 1(il)-dong	246	1115051
1115052 Mok 2(i)-dong	322	1115052
1115053 Mok 3(sam)-dong	236	1115053
1115054 Mok 4(sa)-dong	226	1115054
1115057 Sinwol 1(il)-dong	425	1115057
1115058 Sinwol 2(i)-dong	265	1115058
1115059 Sinwol 3(sam)-dong	344	1115059
1115060 Sinwol 4(sa)-dong	118	1115060
1115061 Sinwol 5(o)-dong	175	1115061
1115062 Sinwol 6(yuk)-dong	96	1115062
1115063 Sinwol 7(chil)-dong	204	1115063
1115064 Sinjeong 1(il)-dong	181	1115064
1115065 Sinjeong 2(i)-dong	180	1115065
1115066 Sinjeong 3(sam)-dong	1400	1115066
1115069 Sinjeong 6(yuk)-dong	89	1115069
1115070 Sinjeong 7(chil)-dong	299	1115070
1115071 Mok 5(o)-dong	203	1115071
1115072 Sinjeong 4(sa)-dong	838	1115072
11160 Gangseo-gu	8039	11160
1116051 Yeomchang-dong	218	1116051
1116052 Deungchon 1(il)-dong	246	1116052
1116053 Deungchon 2(i)-dong	160	1116053
1116054 Deungchon 3(sam)-dong	279	1116054
1116055 Hwagokbon-dong	548	1116055
1116057 Hwagok 2(i)-dong	355	1116057
1116058 Hwagok 3(sam)-dong	258	1116058
1116059 Hwagok 4(sa)-dong	459	1116059
1116061 Hwagok 6(yuk)-dong	355	1116061
1116063 Hwagok 8(pal)-dong	551	1116063
1116064 Gayang 1(il)-dong	171	1116064
1116065 Gayang 2(i)-dong	206	1116065
1116066 Gayang 3(sam)-dong	215	1116066
1116067 Balsan 1(il)-dong	220	1116067
1116069 Gonghang-dong	1112	1116069
1116070 Banghwa 1(il)-dong	437	1116070
1116071 Banghwa 2(i)-dong	421	1116071
1116072 Banghwa 3(sam)-dong	241	1116072
1116073 Hwagok 1(il)-dong	1267	1116073
1116074 Ujangsan-dong	320	1116074
11170 Guro-gu	39461	11170
1117051 Sindorim-dong	442	1117051
1117052 Guro 1(il)-dong	135	1117052
1117054 Guro 3(sam)-dong	1695	1117054
1117055 Guro 4(sa)-dong	6708	1117055
1117056 Guro 5(o)-dong	4666	1117056
1117061 Gocheok 1(il)-dong	440	1117061
1117062 Gocheok 2(i)-dong	713	1117062
1117064 Gaebong 2(i)-dong	548	1117064
1117065 Gaebong 3(sam)-dong	470	1117065
1117067 Oryu 1(il)-dong	784	1117067
1117068 Oryu 2(i)-dong	948	1117068
1117069 Sugung-dong	354	1117069
1117070 Garibong-dong	9239	1117070
1117071 Guro 2(i)-dong	11166	1117071
1117072 Gaebong 1(il)-dong	1153	1117072
11180 Geumcheon-gu	24792	11180
1118051 Gasan-dong	5199	1118051
1118052 Doksan 1(il)-dong	3099	1118052
1118053 Doksan 2(i)-dong	2343	1118053
1118054 Doksan 3(sam)-dong	6523	1118054
1118055 Doksan 4(sa)-dong	2456	1118055
1118057 Siheung 1(il)-dong	2947	1118057
1118058 Siheung 2(i)-dong	188	1118058
1118059 Siheung 3(sam)-dong	268	1118059
1118060 Siheung 4(sa)-dong	950	1118060
1118061 Siheung 5(o)-dong	819	1118061
11190 Yeongdeungpo-gu	49044	11190
1119054 Yeoui-dong	713	1119054
1119055 Dangsan 1(il)-dong	791	1119055
1119056 Dangsan  2(i)-dong	625	1119056
1119061 Yangpyeong 1(il)-dong	392	1119061
1119062 Yangpyeong 2(i)-dong	321	1119062
1119063 Singil 1(il)-dong	3072	1119063
1119065 Singil 3(sam)-dong	1951	1119065
1119066 Singil 4(sa)-dong	1899	1119066
1119067 Singil 5(o)-dong	3418	1119067
1119068 Singil 6(yuk)-dong	2698	1119068
1119069 Singil 7(chil)-dong	538	1119069
1119070 Daerim 1(il)-dong	4343	1119070
1119071 Daerim 2(i)-dong	12522	1119071
