location	population	id
2111069 Guseo 1(il)-dong	74	2111069
2111070 Guseo 2(i)-dong	95	2111070
2111071 Geumseong-dong		2111071
2111072 Seo 3(sam)-dong	74	2111072
21120 Gangseo-gu	6159	21120
2112051 Daejeo 1(il)-dong	184	2112051
2112052 Daejeo 2(i)-dong	193	2112052
2112053 Gangdong-dong	211	2112053
2112054 Myeongji-dong	219	2112054
2112055 Garak-dong	108	2112055
2112056 Noksan-dong	5198	2112056
2112058 Gadeokdo-dong	46	2112058
21130 Yeonje-gu	918	21130
2113051 Geoje 1(il)-dong	76	2113051
2113052 Geoje 2(i)-dong	50	2113052
2113053 Geoje 3(sam)-dong	33	2113053
2113054 Geoje 4(sa)-dong	40	2113054
2113055 Yeonsan 1(il)-dong	61	2113055
2113056 Yeonsan 2(i)-dong	70	2113056
2113057 Yeonsan 3(sam)-dong	53	2113057
2113058 Yeonsan 4(sa)-dong	79	2113058
2113059 Yeonsan 5(o)-dong	189	2113059
2113060 Yeonsan 6(yuk)-dong	78	2113060
2113062 Yeonsan 8(pal)-dong	77	2113062
2113063 Yeonsan 9(gu)-dong	112	2113063
21140 Suyeong-gu	1364	21140
2114051 Namcheon 1(il)-dong	157	2114051
2114052 Namcheon 2(i)-dong	130	2114052
2114053 Suyeong-dong	125	2114053
2114054 Mangmi 1(il)-dong	87	2114054
2114055 Mangmi 2(i)-dong	70	2114055
2114056 Gwangan 1(il)-dong	177	2114056
2114057 Gwangan 2(i)-dong	228	2114057
2114058 Gwangan 3(sam)-dong	67	2114058
2114059 Gwangan 4(sa)-dong	113	2114059
2114060 Millak-dong	210	2114060
21150 Sasang-gu	5263	21150
2115051 Samnak-dong	456	2115051
2115052 Mora 1(il)-dong	326	2115052
2115054 Mora 3(sam)-dong	70	2115054
2115055 Deokpo 1(il)-dong	212	2115055
2115056 Deokpo 2(i)-dong	347	2115056
2115057 Gwaebeop-dong	782	2115057
2115060 Jurye 1(il)-dong	94	2115060
2115061 Jurye 2(i)-dong	997	2115061
2115062 Jurye 3(sam)-dong	293	2115062
2115063 Hakjang-dong	886	2115063
2115064 Eomgung-dong	266	2115064
2115065 Gamjeon-dong	534	2115065
21310 Gijang-gun	2327	21310
2131011 Gijang-eup	452	2131011
2131012 Jangan-eup	375	2131012
2131013 Jeonggwan-eup	1235	2131013
2131031 Ilgwang-myeon	126	2131031
2131033 Cheolma-myeon	139	2131033
22 Daegu	29282	22
22004 Total for eups	3753	22004
22005 Total for myeons	1964	22005
22003 Total for dongs	23565	22003
22010 Jung-gu	814	22010
2201054 Samdeok-dong	131	2201054
2201056 Seongnae 1(il)-dong	70	2201056
2201059 Seongnae 2(i)-dong	105	2201059
2201061 Seongnae 3(sam)-dong	32	2201061
2201062 Daesin-dong	27	2201062
2201064 Namsan 1(il)-dong	49	2201064
2201065 Namsan 2(i)-dong	64	2201065
2201066 Namsan 3(sam)-dong	47	2201066
2201067 Namsan 4(sa)-dong	56	2201067
2201068 Daebong 1(il)-dong	114	2201068
2201069 Daebong 2(i)-dong	39	2201069
2201070 Dongin-dong	80	2201070
22020 Dong-gu	1837	22020
2202051 Sinam 1(il)-dong	88	2202051
2202052 Sinam 2(i)-dong	56	2202052
2202053 Sinam 3(sam)-dong	53	2202053
2202054 Sinam 4(sa)-dong	100	2202054
2202055 Sinam 5(o)-dong	48	2202055
2202056 Sincheon 1早2(ili)-dong	51	2202056
2202058 Sincheon 3(sam)-dong	95	2202058
2202059 Sincheon 4(sa)-dong	93	2202059
2202060 Hyomok 1(il)-dong	87	2202060
2202061 Hyomok 2(i)-dong	46	2202061
2202062 Dopyeong-dong	18	2202062
2202063 Bullobongmu-dong	145	2202063
2202065 Jijeo-dong	58	2202065
2202066 Dongchon-dong	131	2202066
2202068 Bangchon-dong	78	2202068
2202069 Haean-dong	77	2202069
2202071 Gongsan-dong	51	2202071
2202073 Ansim 1(il)-dong	256	2202073
2202074 Ansim 2(i)-dong	74	2202074
2202075 Ansim 3早4(samsa)-dong	232	2202075
22030 Seo-gu	2670	22030
2203051 Naedang 1(il)-dong	72	2203051
2203052 Naedang 2早3(isam)-dong	67	2203052
2203053 Naedang 4(sa)-dong	109	2203053
2203054 Bisan 1(il)-dong	110	2203054
2203055 Bisan 2早3(isam)-dong	57	2203055
2203056 Bisan 4(sa)-dong	47	2203056
2203057 Bisan 5(o)-dong	85	2203057
2203058 Bisan 6(yuk)-dong	63	2203058
2203059 Bisan 7(chil)-dong	933	2203059
2203060 Pyeongni 1(il)-dong	55	2203060
2203061 Pyeongni 2(i)-dong	46	2203061
2203062 Pyeongni 3(sam)-dong	120	2203062
2203063 Pyeongni 4(sa)-dong	90	2203063
2203064 Pyeongni 5(o)-dong	70	2203064
2203065 Pyeongni 6(yuk)-dong	128	2203065
2203066 Sangjungi-dong	531	2203066
2203068 Wondae-dong	87	2203068
22040 Nam-gu	1212	22040
2204051 Icheon-dong	89	2204051
2204053 Bongdeok 1(il)-dong	81	2204053
2204054 Bongdeok 2(i)-dong	108	2204054
2204055 Bongdeok 3(sam)-dong	193	2204055
2204056 Daemyeong 1(il)-dong	53	2204056
2204057 Daemyeong 2(i)-dong	107	2204057
2204058 Daemyeong 3(sam)-dong	86	2204058
2204059 Daemyeong 4(sa)-dong	78	2204059
2204060 Daemyeong 5(o)-dong	127	2204060
2204061 Daemyeong 6(yuk)-dong	44	2204061
2204064 Daemyeong 9(gu)-dong	120	2204064
2204065 Daemyeong 10(sip)-dong	58	2204065
2204066 Daemyeong 11(sibil)-dong	68	2204066
22050 Buk-gu	5273	22050
2205051 Goseong-dong	34	2205051
2205052 Chilseong-dong	110	2205052
2205055 Chimsan 1(il)-dong	263	2205055
2205056 Chimsan 2(i)-dong	66	2205056
2205057 Chimsan 3(sam)-dong	86	2205057
2205061 Sangyeok 1(il)-dong	58	2205061
2205062 Sangyeok 2(i)-dong	122	2205062
2205063 Sangyeok 3(sam)-dong	1059	2205063
2205064 Sangyeok 4(sa)-dong	107	2205064
2205065 Bokhyeon 1(il)-dong	295	2205065
2205066 Bokhyeon 2(i)-dong	495	2205066
2205070 Geomdan-dong	390	2205070
2205071 Mutaejoya-dong	169	2205071
2205074 Taejeon 2(i)-dong	86	2205074
2205075 Gwanmun-dong	116	2205075
2205076 Eupnae-dong	136	2205076
2205077 Gwaneum-dong	90	2205077
2205078 Taejeon 1(il)-dong	197	2205078
2205079 Guam-dong	153	2205079
2205081 Nowon-dong	582	2205081
2205082 Dongcheon-dong	109	2205082
2205083 Guku-dong	78	2205083
2205084 Daehyeon-dong	472	2205084
22060 Suseong-gu	1825	22060
2206051 Beomeo 1(il)-dong	66	2206051
2206052 Beomeo 2(i)-dong	155	2206052
2206053 Beomeo 3(sam)-dong	80	2206053
2206054 Beomeo 4(sa)-dong	35	2206054
2206055 Manchon 1(il)-dong	89	2206055
2206056 Manchon 2(i)-dong	97	2206056
2206057 Manchon 3(sam)-dong	53	2206057
2206058 Suseong 1(il)-ga-dong	48	2206058
2206059 Suseong 2早3(isam)-ga-dong	52	2206059
2206060 Suseong 4(sa)-ga-dong	61	2206060
2206061 Hwanggeum 1(il)-dong	58	2206061
2206062 Hwanggeum 2(i)-dong	123	2206062
2206063 Jung-dong	79	2206063
2206064 Sang-dong	102	2206064
2206065 Pa-dong	29	2206065
2206066 Dusan-dong	130	2206066
2206067 Jisan 1(il)-dong	118	2206067
2206068 Jisan 2(i)-dong	62	2206068
2206069 Beommul 1(il)-dong	62	2206069
2206070 Beommul 2(i)-dong	46	2206070
2206071 Gosan 1(il)-dong	101	2206071
2206072 Gosan 2(i)-dong	76	2206072
2206073 Gosan 3(sam)-dong	103	2206073
22070 Dalseo-gu	9934	22070
2207055 Duryu 3(sam)-dong	63	2207055
2207056 Bolli-dong	421	2207056
2207057 Gamsam-dong	125	2207057
2207058 Jukjeon-dong	196	2207058
2207059 Janggi-dong	473	2207059
2207060 Igok 1(il)-dong	638	2207060
2207061 Sindang-dong	3322	2207061
2207062 Wolseong 1(il)-dong	191	2207062
2207063 Wolseong 2(i)-dong	1754	2207063
2207064 Jincheon-dong	369	2207064
2207065 Sangin 1(il)-dong	85	2207065
2207066 Sangin 2(i)-dong	131	2207066
2207067 Sangin 3(sam)-dong	81	2207067
2207068 Dowon-dong	78	2207068
2207069 Songhyeon 1(il)-dong	129	2207069
2207070 Songhyeon 2(i)-dong	106	2207070
2207071 Bon-dong	218	2207071
2207072 Yongsan 1(il)-dong	158	2207072
2207073 Yongsan 2(i)-dong	217	2207073
2207074 Igok 2(i)-dong	918	2207074
2207075 Seongdang-dong	116	2207075
"2207076 Duryu 1,2(il)-dong"	145	2207076
22310 Dalseong-gun	5717	22310
2231011 Hwawon-eup	325	2231011
2231012 Nongong-eup	2755	2231012
2231013 Dasa-eup	673	2231013
2231031 Gachang-myeon	33	2231031
2231032 Habin-myeon	153	2231032
2231033 Okpo-myeon	253	2231033
2231034 Hyeonpung-myeon	438	2231034
2231035 Yuga-myeon	111	2231035
2231036 Guji-myeon	976	2231036
23 Incheon	67850	23
23004 Total for eups	217	23004
23005 Total for myeons	946	23005
23003 Total for dongs	66687	23003
23010 Jung-gu	4408	23010
2301052 Yeonan-dong	434	2301052
2301053 Sinpo-dong	465	2301053
2301054 Sinheung-dong	565	2301054
2301056 Dowon-dong	108	2301056
2301057 Yulmok-dong	157	2301057
2301058 Dongincheon-dong	376	2301058
2301060 Bukseong-dong	632	2301060
2301061 Songwol-dong	229	2301061
2301062 Yeongjong-dong	678	2301062
2301063 Yongyu-dong	117	2301063
2301064 unseo-dong	647	2301064
23020 Dong-gu	1097	23020
2302051 Manseok-dong	169	2302051
2302052 Hwasu 1(il)hwapyeong-dong	99	2302052
2302053 Hwasu 2(i)-dong	137	2302053
2302055 Songhyeon 1早2(ili)-dong	94	2302055
2302057 Songhyeon 3(sam)-dong	138	2302057
2302058 Songnim 1(il)-dong	19	2302058
2302059 Songnim 2(i)-dong	60	2302059
2302060 Songnim 3早5(samo)-dong	89	2302060
2302061 Songnim 4(sa)-dong	127	2302061
2302063 Songnim 6(yuk)-dong	127	2302063
2302064 Geumchang-dong	38	2302064
23030 Nam-gu	8350	23030
2303052 Sungui 2(i)-dong	215	2303052
2303054 Sungui 4(sa)-dong	311	2303054
2303056 Yonghyeon 2(i)-dong	250	2303056
2303057 Yonghyeon 3(sam)-dong	188	2303057
2303059 Yonghyeon 5(o)-dong	381	2303059
2303060 Hagik 1(il)-dong	754	2303060
2303061 Hagik 2(i)-dong	170	2303061
2303062 Dohwa 1(il)-dong	350	2303062
2303065 Juan 1(il)-dong	483	2303065
2303066 Juan 2(i)-dong	228	2303066
2303067 Juan 3(sam)-dong	145	2303067
2303068 Juan 4(sa)-dong	313	2303068
2303069 Juan 5(o)-dong	1086	2303069
2303070 Juan 6(yuk)-dong	302	2303070
2303071 Juan 7(chil)-dong	167	2303071
2303072 Juan 8(pal)-dong	204	2303072
2303073 Gwangyo-dong	200	2303073
2303074 Munhak-dong	150	2303074
2303075 Sungui 1早3(il早sam)-dong	250	2303075
2303076 Yonghyeon 1早4(il早sa)-dong	1226	2303076
2303077 Dohwa 2早3(i早sam)-dong	977	2303077
23040 Yeonsu-gu	7631	23040
2304051 Ongnyeon 1(il)-dong	440	2304051
2304052 Seonhak-dong	1063	2304052
2304053 Yeonsu 1(il)-dong	1650	2304053
2304054 Yeonsu 2(i)-dong	515	2304054
2304055 Yeonsu 3(sam)-dong	115	2304055
2304056 Cheonghak-dong	719	2304056
2304057 Dongchun 1(il)-dong	94	2304057
2304058 Dongchun 2(i)-dong	130	2304058
2304059 Dongchun 3(sam)-dong	45	2304059
2304060 Ongnyeon 2(i)-dong	364	2304060
2304063 Songdo 2(i)dong	620	2304063
2304064 Songdo 1(il)-dong	822	2304064
2304065 Songdo 3(sam)dong	1054	2304065
23050 Namdong-gu	14508	23050
2305051 Guwol 1(il)-dong	640	2305051
2305052 Guwol 2(i)-dong	171	2305052
2305053 Guwol 3(sam)-dong	452	2305053
2305054 Guwol 4(sa)-dong	299	2305054
2305055 Ganseok 1(il)-dong	402	2305055
2305056 Ganseok 2(i)-dong	151	2305056
2305057 Ganseok 3(sam)-dong	720	2305057
2305058 Ganseok 4(sa)-dong	719	2305058
2305059 Mansu 1(il)-dong	198	2305059
2305060 Mansu 2(i)-dong	162	2305060
2305061 Mansu 3(sam)-dong	159	2305061
2305062 Mansu 4(sa)-dong	78	2305062
2305063 Mansu 5(o)-dong	224	2305063
2305064 Mansu 6(yuk)-dong	151	2305064
2305065 Jangsuseochang-dong	318	2305065
2305067 Namchondorim-dong	1473	2305067
2305072 Nonhyeon-1(il)-dong	585	2305072
2305073 Nonhyeon-2(i)-dong	2274	2305073
2305074 Nonhyeongojan-dong	5332	2305074
23060 Bupyeong-gu	12251	23060
2306051 Bupyeong 1(il)-dong	504	2306051
2306052 Bupyeong 2(i)-dong	1014	2306052
2306053 Bupyeong 3(sam)-dong	387	2306053
2306054 Bupyeong 4(sa)-dong	1071	2306054
2306055 Bupyeong 5(o)-dong	998	2306055
2306056 Bupyeong 6(yuk)-dong	1109	2306056
2306057 Sangok 1(il)-dong	219	2306057
2306058 Sangok 2(i)-dong	117	2306058
2306059 Sangok 3(sam)-dong	202	2306059
2306060 Sangok 4(sa)-dong	85	2306060
2306061 Cheongcheon 1(il)-dong	810	2306061
2306062 Cheongcheon 2(i)-dong	687	2306062
2306063 Galsan 1(il)-dong	265	2306063
2306064 Galsan 2(i)-dong	285	2306064
2306065 Samsan 1(il)-dong	292	2306065
2306066 Bugae 1(il)-dong	442	2306066
2306067 Bugae 2(i)-dong	244	2306067
2306068 Bugae 3(sam)-dong	171	2306068
2306069 Ilsin-dong	201	2306069
2306070 Sipjeong 1(il)-dong	992	2306070
2306071 Sipjeong 2(i)-dong	2044	2306071
2306072 Samsan 2(i)-dong	112	2306072
23070 Gyeyang-gu	3666	23070
2307051 Hyoseong 1(il)-dong	244	2307051
2307052 Hyoseong 2(i)-dong	370	2307052
2307053 Gyesan 1(il)-dong	390	2307053
2307054 Gyesan 2(i)-dong	458	2307054
2307055 Gyesan 3(sam)-dong	143	2307055
2307056 Jakjeon 1(il)-dong	213	2307056
2307057 Jakjeon 2(i)-dong	284	2307057
2307058 Jakjeonseoun-dong	387	2307058
2307061 Gyeyang 2(i)-dong	433	2307061
2307062 Gyesan 4(sa)-dong	142	2307062
2307063 Gyeyang 1(il)-dong	271	2307063
2307064 Gyeyang 3(sam)-dong	331	2307064
23080 Seo-gu	14776	23080
2308051 Geomamgyeongseo-dong	1869	2308051
2308053 Yeonhui-dong	561	2308053
2308054 Gajeong 1(il)-dong	390	2308054
2308055 Gajeong 2(i)-dong	61	2308055
2308056 Gajeong 3(sam)-dong	104	2308056
2308058 Seongnam 1(il)-dong	539	2308058
2308059 Seongnam 2(i)-dong	1380	2308059
2308060 Seongnam 3(sam)-dong	237	2308060
2308062 Gajwa 1(il)-dong	2223	2308062
2308063 Gajwa 2(i)-dong	123	2308063
2308064 Gajwa 3(sam)-dong	420	2308064
2308065 Gajwa 4(sa)-dong	301	2308065
2308069 Geomdan-2(i)dong	623	2308069
2308070 Geomdan-3(sam)dong	331	2308070
2308071 Geomdan-4(sa)dong	511	2308071
2308073 Sinhyeonwonchang-dong	829	2308073
2308074 Cheongna-1(il)dong	227	2308074
2308075 Cheongna-2(i)dong	417	2308075
2308076 Geomdan-1(il)dong	1159	2308076
2308077 Geomdan-5(il)dong	2471	2308077
23310 Ganghwa-gun	937	23310
2331011 Ganghwa-eup	217	2331011
2331031 Seonwon-myeon	93	2331031
2331032 Bureun-myeon	172	2331032
2331033 Gilsang-myeon	44	2331033
2331034 Hwado-myeon	44	2331034
2331035 Yangdo-myeon	32	2331035
2331036 Naega-myeon	68	2331036
2331037 Hajeom-myeon	87	2331037
2331038 Yangsa-myeon	24	2331038
2331039 Songhae-myeon	74	2331039
2331040 Gyodong-myeon	14	2331040
2331041 Samsan-myeon	62	2331041
2331042 Seodo-myeon	6	2331042
23320 Ongjin-gun	226	23320
2332031 Bukdo-myeon	7	2332031
2332032 Yeonpyeong-myeon	24	2332032
2332033 Baengnyeong-myeon	55	2332033
2332034 Daecheong-myeon	14	2332034
2332035 Deokjeok-myeon	12	2332035
2332036 Jawol-myeon	20	2332036
2332037 Yeongheung-myeon	94	2332037
24 Gwangju	21592	24
24010 Dong-gu	1414	24010
2401051 Chungjang-dong	96	2401051
2401054 Dongmyeong-dong	59	2401054
2401056 Gyerim 1(il)-dong	69	2401056
2401058 Gyerim 2(i)-dong	45	2401058
2401059 Sansu 1(il)-dong	73	2401059
2401061 Sansu 2(i)-dong	59	2401061
2401062 Jisan 1(il)-dong	147	2401062
2401063 Jisan 2(i)-dong	72	2401063
2401064 Seonam-dong	367	2401064
2401068 Hak-dong	212	2401068
2401071 Hagun-dong	109	2401071
2401072 Jiwon 1(il)-dong	48	2401072
2401073 Jiwon 2(i)-dong	58	2401073
24020 Seo-gu	2002	24020
2402051 Yang-dong	37	2402051
2402053 Yang 3(sam)-dong	32	2402053
2402054 Nongseong 1(il)-dong	71	2402054
2402055 Nongseong 2(i)-dong	52	2402055
2402056 Gwangcheon-dong	63	2402056
2402057 Yudeok-dong	84	2402057
2402058 Sangmu 1(il)-dong	173	2402058
2402059 Sangmu 2(i)-dong	235	2402059
2402060 Hwajeong 1(il)-dong	112	2402060
2402061 Hwajeong 2(i)-dong	56	2402061
2402062 Hwajeong 3(sam)-dong	63	2402062
2402063 Hwajeong 4(sa)-dong	69	2402063
2402064 Seochang-dong	138	2402064
2402066 Chipyeong-dong	256	2402066
2402067 Pungam-dong	230	2402067
2402068 Geumho 1(il)-dong	127	2402068
2402069 Geumho 2(i)-dong	66	2402069
2402070 Dongcheon-dong	138	2402070
24030 Nam-gu	1537	24030
2403051 Yangnim-dong	48	2403051
2403052 Bangnim 1(il)-dong	34	2403052
2403053 Bangnim 2(i)-dong	37	2403053
2403054 Sajik-dong	44	2403054
2403057 Wolsan-dong	59	2403057
2403060 Wolsan 4(sa)-dong	118	2403060
2403061 Wolsan 5(o)-dong	42	2403061
2403062 Baegun 1(il)-dong	47	2403062
2403063 Baegun 2(i)-dong	52	2403063
2403064 Juwol 1(il)-dong	136	2403064
2403065 Juwol 2(i)-dong	39	2403065
2403066 Hyodeok-dong	551	2403066
2403067 Songam-dong	87	2403067
2403068 Bongseon 1(il)-dong	95	2403068
2403069 Bongseon 2(i)-dong	86	2403069
2403070 Daechon-dong	62	2403070
24040 Buk-gu	4880	24040
2404051 Jungheung 1(il)-dong	37	2404051
2404052 Jungheung 2(i)-dong	74	2404052
2404053 Jungheung 3(sam)-dong	39	2404053
2404054 Jungang-dong	37	2404054
2404055 Im-dong	89	2404055
2404056 Sinan-dong	102	2404056
2404057 Yongbong-dong	1683	2404057
2404058 Unam 1(il)-dong	72	2404058
2404059 Unam 2(i)-dong	136	2404059
2404060 Unam 3(sam)-dong	61	2404060
2404061 Dongnim-dong	99	2404061
2404062 Usan-dong	106	2404062
2404063 Punghyang-dong	33	2404063
2404064 Munhwa-dong	81	2404064
2404065 Munheung 1(il)-dong	40	2404065
2404066 Munheung 2(i)-dong	93	2404066
2404067 Duam 1(il)-dong	84	2404067
2404068 Duam 2(i)-dong	137	2404068
2404069 Duam 3(sam)-dong	67	2404069
2404070 Samgak-dong	64	2404070
2404071 Maegok-dong	39	2404071
2404072 Ochi 1(il)-dong	121	2404072
2404073 Ochi 2(i)-dong	69	2404073
2404074 Seokgok-dong	20	2404074
2404078 Ilgok-dong	105	2404078
2404079 Geonguk-dong	906	2404079
2404080 yangsan-dong	486	2404080
24050 Gwangsan-gu	11759	24050
2405051 Songjeong 1(il)-dong	276	2405051
2405052 Songjeong 2(i)-dong	125	2405052
2405054 Dosan-dong	171	2405054
2405055 Sinheung-dong	59	2405055
2405056 Eoryong-dong	1222	2405056
2405058 Usan-dong	428	2405058
2405059 Wolgok 1(il)-dong	660	2405059
2405060 Wolgok 2(i)-dong	2224	2405060
2405061 Bia-dong	607	2405061
2405063 Hanam-dong	2457	2405063
2405064 Imgok-dong	32	2405064
2405065 Donggok-dong	133	2405065
2405066 Pyeong-dong	1575	2405066
2405067 Samdo-dong	71	2405067
2405068 Bolyang-dong	17	2405068
2405069 Cheomdan 1(il)-dong	72	2405069
2405070 Cheomdan 2(i)-dong	579	2405070
2405071 Unnam-dong	209	2405071
2405073 Sinchang-dong	180	2405073
2405074 Singa-dong	230	2405074
2405075 Suwan-dong	432	2405075
25 Daejeon	19080	25
25010 Dong-gu	4094	25010
2501053 Hyo-dong	151	2501053
2501055 Panam 1(il)-dong	44	2501055
2501056 Panam 2(i)-dong	94	2501056
2501057 Yongun-dong	414	2501057
2501060 Jayang-dong	1896	2501060
2501063 Gayang 1(il)-dong	249	2501063
2501064 Gayang 2(i)-dong	141	2501064
2501065 Yongjeon-dong	184	2501065
2501068 Hongdo-dong	176	2501068
2501073 Daecheong-dong	9	2501073
2501075 Sannae-dong	154	2501075
2501076 Jungang-dong	115	2501076
2501077 Sinin-dong	73	2501077
2501078 Dae-dong	90	2501078
2501079 Seongnam-dong	98	2501079
2501080 Samseong-dong	206	2501080
25020 Jung-gu	1850	25020
2502051 Eunhaengseonhwa-dong	222	2502051
2502053 Mok-dong	53	2502053
2502054 Jungchon-dong	108	2502054
2502055 Daeheung-dong	207	2502055
2502056 Munchang-dong	60	2502056
2502057 Seokgyo-dong	155	2502057
2502058 Daesa-dong	71	2502058
2502059 Busa-dong	44	2502059
2502060 Yongdu-dong	86	2502060
2502062 Oryu-dong	61	2502062
2502063 Taepyeong 1(il)-dong	69	2502063
2502064 Taepyeong 2(i)-dong	69	2502064
2502065 Yucheon 1(il)-dong	108	2502065
2502066 Yucheon 2(i)-dong	107	2502066
2502067 Munhwa 1(il)-dong	119	2502067
2502068 Munhwa 2(i)-dong	87	2502068
2502069 Sanseong-dong	224	2502069
25030 Seo-gu	3847	25030
2503051 Boksu-dong	128	2503051
2503052 Doma 1(il)-dong	376	2503052
2503053 Doma 2(i)-dong	788	2503053
2503054 Jeongnim-dong	92	2503054
2503055 Byeon-dong	111	2503055
2503056 Yongmun-dong	117	2503056
2503057 Tanbang-dong	161	2503057
2503059 Dunsan 1(il)-dong	153	2503059
2503060 Dunsan 2(i)-dong	160	2503060
2503061 Goejeong-dong	129	2503061
2503062 Gajang-dong	65	2503062
2503063 Nae-dong	103	2503063
2503064 Galma 1(il)-dong	164	2503064
2503065 Galma 2(i)-dong	141	2503065
2503066 Wolpyeong 1(il)-dong	254	2503066
2503067 Wolpyeong 2(i)-dong	92	2503067
2503068 Wolpyeong 3(sam)-dong	35	2503068
2503069 Mannyeon-dong	198	2503069
2503070 Gasuwon-dong	265	2503070
2503071 Giseong-dong	34	2503071
2503072 Gwanjeo 1(il)-dong	83	2503072
2503073 Gwanjeo 2(i)-dong	102	2503073
2503074 Dunsan 3(sam)-dong	96	2503074
25040 Yuseong-gu	6595	25040
2504051 Jinjam-dong	185	2504051
2504054 Oncheon 2(i)-dong	2845	2504054
2504055 Sinseong-dong	1130	2504055
2504057 Jeonmin-dong	370	2504057
2504059 Noeun 1(il)-dong	170	2504059
2504061 Gujeuk-dong	274	2504061
2504063 Gwanpyeong-dong	456	2504063
2504064 Oncheon 1(il)-dong	657	2504064
2504065 Wonsinheung-dong	214	2504065
2504066 Noeun 2(i)-dong	133	2504066
2504067 Noeun 3(sam)-dong	161	2504067
25050 Daedeok-gu	2694	25050
2505051 Ojeong-dong	573	2505051
2505052 Daehwa-dong	334	2505052
2505053 Hoedeok-dong	225	2505053
2505054 Birae-dong	91	2505054
2505055 Jungni-dong	240	2505055
2505056 Beop 1(il)-dong	80	2505056
2505057 Beop 2(i)-dong	70	2505057
2505058 Sintanjin-dong	130	2505058
2505059 Seokbong-dong	64	2505059
2505060 Deogam-dong	320	2505060
2505061 Moksang-dong	451	2505061
2505062 Songchon-dong	116	2505062
26 Ulsan	29860	26
26004 Total for eups	7141	26004
26005 Total for myeons	3597	26005
26003 Total for dongs	19122	26003
26010 Jung-gu	2915	26010
2601051 Hakseong-dong	408	2601051
2601052 Bangu 1(il)-dong	508	2601052
2601053 Bangu 2(i)-dong	201	2601053
2601054 Boksan 1(il)-dong	74	2601054
2601055 Boksan 2(i)-dong	90	2601055
2601059 Ujeong-dong	322	2601059
2601060 Taehwa-dong	133	2601060
2601061 Daun-dong	138	2601061
2601062 Byeongyeong 1(il)-dong	279	2601062
2601063 Byeongyeong 2(i)-dong	221	2601063
2601064 Yaksa-dong	30	2601064
2601066 Seongan-dong	95	2601066
2601067 Jungang-dong	416	2601067
26020 Nam-gu	6983	26020
2602051 Sinjeong 1(il)-dong	406	2602051
2602052 Sinjeong 2(i)-dong	362	2602052
2602053 Sinjeong 3(sam)-dong	341	2602053
2602054 Sinjeong 4(sa)-dong	273	2602054
2602055 Sinjeong 5(o)-dong	150	2602055
2602056 Dal-dong	442	2602056
2602057 Samsan-dong	957	2602057
2602058 Samho-dong	247	2602058
2602059 Mugeo-dong	1098	2602059
2602060 Ok-dong	113	2602060
2602061 Yaeumjangsaengpo-dong	1726	2602061
2602062 Daehyeon-dong	428	2602062
2602063 Suam-dong	55	2602063
2602064 Seonam-dong	385	2602064
26030 Dong-gu	6165	26030
2603051 Bangeo-dong	2172	2603051
2603052 Ilsan-dong	306	2603052
2603053 Hwajeong-dong	465	2603053
2603054 Daesong-dong	254	2603054
2603055 Jeonha 1(il)-dong	569	2603055
2603058 Nammok 1(il)-dong	143	2603058
2603059 Nammok 2(i)-dong	1311	2603059
2603060 Nammok 3(sam)-dong	350	2603060
2603061 Jeonha 2(i)-dong	595	2603061
26040 Buk-gu	3059	26040
2604051 Nongso 1(il)-dong	575	2604051
2604052 Nongso 2(i)-dong	626	2604052
2604053 Nongso 3(sam)-dong	369	2604053
2604054 Gangdong-dong	181	2604054
2604056 Hyomun-dong	731	2604056
2604057 Songjeong-dong	120	2604057
2604058 Yangjeong-dong	87	2604058
2604059 Yeompo-dong	370	2604059
26310 Ulju-gun	10738	26310
2631011 Onsan-eup	5375	2631011
2631012 Eonyang-eup	817	2631012
2631013 Onyang-eup	545	2631013
2631014 Beomseo-eup	404	2631014
2631031 Seosaeng-myeon	360	2631031
2631033 Cheongnyang-myeon	451	2631033
2631034 Ungchon-myeon	1304	2631034
2631036 Dudong-myeon	48	2631036
2631037 Duseo-myeon	204	2631037
2631038 Sangbuk-myeon	509	2631038
2631039 Samnam-myeon	574	2631039
2631040 Samdong-myeon	147	2631040
29 Sejong-si	4471	29
29004 Total for eups	1134	29004
29005 Total for myeons	2519	29005
29003 Total for dongs	818	29003
29010 Sejong-si	4471	29010
2901011 Jochiwon-eup	1134	2901011
2901031 Yeongi-myeon	170	2901031
2901032 YeonDong-myeon	205	2901032
2901033 Bugang-myeon	296	2901033
2901034 Geumnam-myeon	259	2901034
2901035 janggun-myeon	296	2901035
2901036 YeonSeo-myeon	306	2901036
2901037 Jeonui-myeon	457	2901037
2901038 Jeondong-myeon	300	2901038
2901039 Sojeong-myeon	230	2901039
2901051 Hansol-dong	455	2901051
2901053 Dodam-dong	163	2901053
2901054 Arum-dong	200	2901054
31 Gyeonggi-do	452632	31
31004 Total for eups	58197	31004
31005 Total for myeons	82416	31005
31003 Total for dongs	312019	31003
31010 Suwon-si	42420	31010
31011 Jangan-gu	6885	31011
3101154 Pajang-dong	476	3101154
3101155 Yulcheon-dong	1540	3101155
3101156 Jeongja 1(il)-dong	259	3101156
3101157 Jeongja 2(i)-dong	438	3101157
3101158 Yeonghwa-dong	2149	3101158
3101159 Songjuk-dong	370	3101159
3101160 Jowon 1(il)-dong	385	3101160
3101161 Yeonmu-dong	976	3101161
3101162 Jeongja 3(sam)-dong	226	3101162
