place_original	pop	id	id2	place	
37100 Gyeongsan-si	278500	37100	37100	Gyeongsan-si	
31103 Ilsandong-gu	277925	31103	31103	Ilsandong-gu	
34011 Dongnam-gu	277781	34011	34011	Dongnam-gu	
35020 Gunsan-si	275155	35020	35020	Gunsan-si	
36020 Yeosu-si	273761	36020	36020	Yeosu-si	
37012 Buk-gu	267934	37012	37012	Buk-gu	
36030 Suncheon-si	265390	36030	36030	Suncheon-si	
37020 Gyeongju-si	262310	37020	37020	Gyeongju-si	
21060 Dongnae-gu	262154	21060	21060	Dongnae-gu	
38090 Geoje-si	261371	38090	38090	Geoje-si	
33043 Heungdeok-gu	255542	33043	33043	Heungdeok-gu	
38111 Uichang-gu	255200	38111	38111	Uichang-gu	
11180 Geumcheon-gu	250690	11180	11180	Geumcheon-gu	
25020 Jung-gu	250434	25020	25020	Jung-gu	
21110 Geumjeong-gu	249444	21110	21110	Geumjeong-gu	
25010 Dong-gu	247975	25010	25010	Dong-gu	
31041 Manan-gu	245305	31041	31041	Manan-gu	
31022 Jungwon-gu	244451	31022	31022	Jungwon-gu	
37011 Nam-gu	243870	37011	37011	Nam-gu	
21150 Sasang-gu	240709	21150	21150	Sasang-gu	
36010 Mokpo-si	239524	36010	36010	Mokpo-si	
26010 Jung-gu	236988	26010	26010	Jung-gu	
38112 Seongsan-gu	234908	38112	38112	Seongsan-gu	
31191 Cheoin-gu	231892	31191	31191	Cheoin-gu	
11030 Yongsan-gu	227282	11030	11030	Yongsan-gu	
31021 Sujeong-gu	225967	31021	31021	Sujeong-gu	
26310 Ulju-gun	222739	26310	26310	Ulju-gun	
33042 Seowon-gu	222721	33042	33042	Seowon-gu	
24030 Nam-gu	221759	24030	24030	Nam-gu	
31052 Sosa-gu	221553	31052	31052	Sosa-gu	
32030 Gangneung-si	215677	32030	32030	Gangneung-si	
31140 Osan-si	213840	31140	31140	Osan-si	
33020 Chungju-si	211005	33020	33020	Chungju-si	
31210 Icheon-si	209003	31210	31210	Icheon-si	
31013 Paldal-gu	208903	31013	31013	Paldal-gu	
38114 Masanhoewon-gu	208766	38114	38114	Masanhoewon-gu	
31260 Yangju-si	205988	31260	31260	Yangju-si	
29 Sejong-si	204088	29	29	Sejong-si	
29010 Sejong-si	204088	29010	29010	Sejong-si	
21130 Yeonje-gu	203527	21130	21130	Yeonje-gu	
22030 Seo-gu	202963	22030	22030	Seo-gu	
25050 Daedeok-gu	198463	25050	25050	Daedeok-gu	
31220 Anseong-si	194765	31220	31220	Anseong-si	
22310 Dalseong-gun	189852	22310	22310	Dalseong-gun	
26040 Buk-gu	188664	26040	26040	Buk-gu	
33044 Cheongwon-gu	183136	33044	33044	Cheongwon-gu	
31053 Ojeong-gu	181845	31053	31053	Ojeong-gu	
38115 Jinhae-gu	181422	38115	38115	Jinhae-gu	
31120 Guri-si	180063	31120	31120	Guri-si	
38113 Masanhappo-gu	178945	38113	38113	Masanhappo-gu	
26030 Dong-gu	176861	26030	26030	Dong-gu	
21140 Suyeong-gu	173069	21140	21140	Suyeong-gu	
33041 Sangdang-gu	171877	33041	33041	Sangdang-gu	
34050 Seosan-si	169221	34050	34050	Seosan-si	
37040 Andong-si	168581	37040	37040	Andong-si	
34080 Dangjin-si	163762	34080	34080	Dangjin-si	
31270 Pocheon-si	163388	31270	31270	Pocheon-si	
11010 Jongno-gu	161521	11010	11010	Jongno-gu	
22040 Nam-gu	160164	22040	22040	Nam-gu	
31170 Uiwang-si	154879	31170	31170	Uiwang-si	
31180 Hanam-si	154838	31180	31180	Hanam-si	
39020 Seogwipo-si	153861	39020	39020	Seogwipo-si	
21310 Gijang-gun	148073	21310	21310	Gijang-gun	
36060 Gwangyang-si	144414	36060	36060	Gwangyang-si	
37030 Gimcheon-si	137540	37030	37030	Gimcheon-si	
38050 Tongyeong-si	137208	38050	38050	Tongyeong-si	
33030 Jecheon-si	136350	33030	33030	Jecheon-si	
21040 Yeongdo-gu	129515	21040	21040	Yeongdo-gu	
11020 Jung-gu	128478	11020	11020	Jung-gu	
34060 Nonsan-si	124246	34060	34060	Nonsan-si	
37390 Chilgok-gun	122462	37390	37390	Chilgok-gun	
34020 Gongju-si	113542	34020	34020	Gongju-si	
38060 Sacheon-si	113335	38060	38060	Sacheon-si	
23010 Jung-gu	112910	23010	23010	Jung-gu	
21020 Seo-gu	111996	21020	21020	Seo-gu	
35040 Jeongeup-si	110627	35040	35040	Jeongeup-si	
31280 Yeoju-si	109937	31280	31280	Yeoju-si	
37060 Yeongju-si	109266	37060	37060	Yeongju-si	
24010 Dong-gu	104173	24010	24010	Dong-gu	
38080 Miryang-si	103069	38080	38080	Miryang-si	
33370 Eumseong-gun	102023	33370	33370	Eumseong-gun	
31380 Yangpyeong-gun	101930	31380	31380	Yangpyeong-gun	
34030 Boryeong-si	101852	34030	34030	Boryeong-si	
37080 Sangju-si	98760	37080	37080	Sangju-si	
37070 Yeongcheon-si	97669	37070	37070	Yeongcheon-si	
31080 Dongducheon-si	97424	31080	31080	Dongducheon-si	
3113013 Hwado-eup	96902	3113013	3113013	Hwado-eup	
35310 Wanju-gun	95357	35310	35310	Wanju-gun	
3113012 Jinjeop-eup	94271	3113012	3113012	Jinjeop-eup	
34360 Hongseong-gun	94114	34360	34360	Hongseong-gun	
21120 Gangseo-gu	92628	21120	21120	Gangseo-gu	
36040 Naju-si	92582	36040	36040	Naju-si	
32040 Donghae-si	90255	32040	32040	Donghae-si	
21030 Dong-gu	89202	21030	21030	Dong-gu	
3807055 Bukbu-dong	84627	3807055	3807055	Bukbu-dong	
3125011 Opo-eup	84338	3125011	3125011	Opo-eup	
35060 Gimje-si	84269	35060	35060	Gimje-si	
3807054 Naeoe-dong	82544	3807054	3807054	Naeoe-dong	
34370 Yesan-gun	81747	34370	34370	Yesan-gun	
36420 Muan-gun	80521	36420	36420	Muan-gun	
35050 Namwon-si	80499	35050	35050	Namwon-si	
32060 Sokcho-si	79846	32060	32060	Sokcho-si	
22010 Jung-gu	78334	22010	22010	Jung-gu	
2405075 Suwan-dong	77348	2405075	2405075	Suwan-dong	
3501173 Hyoja 4(sa)-dong	76003	3501173	3501173	Hyoja 4(sa)-dong	
3119258 Dongbaek-dong	75298	3119258	3119258	Dongbaek-dong	
3124014 Hyangnam-eup	72578	3124014	3124014	Hyangnam-eup	
3811411 Naeseo-eup	72321	3811411	3811411	Naeseo-eup	
37090 Mungyeong-si	71863	37090	37090	Mungyeong-si	
3124012 Bongdam-eup	71625	3124012	3124012	Bongdam-eup	
33350 Jincheon-gun	71152	33350	33350	Jincheon-gun	
23020 Dong-gu	71054	23020	23020	Dong-gu	
2631014 Beomseo-eup	70852	2631014	2631014	Beomseo-eup	
2131013 Jeonggwan-eup	70228	2131013	2131013	Jeonggwan-eup	
32070 Samcheok-si	69509	32070	32070	Samcheok-si	
38320 Haman-gun	69355	38320	38320	Haman-gun	
36400 Haenam-gun	69237	36400	36400	Haenam-gun	
34330 Buyeo-gun	69017	34330	34330	Buyeo-gun	
3404012 Baebang-eup	68783	3404012	3404012	Baebang-eup	
3810012 Mulgeum-eup	68456	3810012	3810012	Mulgeum-eup	
3113011 Wabu-eup	67426	3113011	3113011	Wabu-eup	
32310 Hongcheon-gun	67190	32310	32310	Hongcheon-gun	
3701265 Jangnyang-dong	66722	3701265	3701265	Jangnyang-dong	
3114052 Daewon-dong	66120	3114052	3114052	Daewon-dong	
31110 Gwacheon-si	64817	31110	31110	Gwacheon-si	
2207064 Jincheon-dong	63367	2207064	2207064	Jincheon-dong	
2231013 Dasa-eup	63151	2231013	2231013	Dasa-eup	
3101263 Geumho-dong	62557	3101263	3101263	Geumho-dong	
36350 Goheung-gun	62477	36350	36350	Goheung-gun	
23310 Ganghwa-gun	62291	23310	23310	Ganghwa-gun	
38330 Changnyeong-gun	61635	38330	38330	Changnyeong-gun	
36410 Yeongam-gun	61535	36410	36410	Yeongam-gun	
36370 Hwasun-gun	61380	36370	36370	Hwasun-gun	
3119354 Jukjeon 1(il)-dong	60787	3119354	3119354	Jukjeon 1(il)-dong	
38390 Geochang-gun	60464	38390	38390	Geochang-gun	
34380 Taean-gun	59723	34380	34380	Taean-gun	
31370 Gapyeong-gun	58909	31370	31370	Gapyeong-gun	
3109263 Wongokbon-dong	57928	3109263	3109263	Wongokbon-dong	
3122011 Gongdo-eup	57922	3122011	3122011	Gongdo-eup	
3705070 Indong-dong	57565	3705070	3705070	Indong-dong	
3113057 Byeolnae-dong	56472	3113057	3113057	Byeolnae-dong	
34310 Geumsan-gun	55923	34310	34310	Geumsan-gun	
3116052 Gunpo 2(i)-dong	55740	3116052	3116052	Gunpo 2(i)-dong	
35370 Gochang-gun	55665	35370	35370	Gochang-gun	
34340 Seocheon-gun	54768	34340	34340	Seocheon-gun	
2901054 Arum-dong	54410	2901054	2901054	Arum-dong	
3901066 Nohyeong-dong	54346	3901066	3901066	Nohyeong-dong	
3109266 Choji-dong	54270	3109266	3109266	Choji-dong	
3304259 Seonghwagaesinjungnim-dong	54099	3304259	3304259	Seonghwagaesinjungnim-dong	
3125052 Songjeong-dong	54091	3125052	3125052	Songjeong-dong	
3113015 Onam-eup	54026	3113015	3113015	Onam-eup	
3807061 Jangyu 1(il)-dong	54020	3807061	3807061	Jangyu 1(il)-dong	
3114054 Sinjang-dong	54014	3114054	3114054	Sinjang-dong	
38340 Goseong-gun	53882	38340	38340	Goseong-gun	
1115066 Sinjeong 3(sam)-dong	53880	1115066	1115066	Sinjeong 3(sam)-dong	
3807063 Jangyu 3(sam)-dong	53836	3807063	3807063	Jangyu 3(sam)-dong	
3304412 Ochang-eup	53774	3304412	3304412	Ochang-eup	
2202075 Ansim 3早4(samsa)-dong	53270	2202075	2202075	Ansim 3早4(samsa)-dong	
3126052 Yangju 2(i)-dong	53186	3126052	3126052	Yangju 2(i)-dong	
3304354 Gagyeong-dong	52901	3304354	3304354	Gagyeong-dong	
2901011 Jochiwon-eup	52834	2901011	2901011	Jochiwon-eup	
3606053 Jungma-dong	52805	3606053	3606053	Jungma-dong	
2131011 Gijang-eup	52769	2131011	2131011	Gijang-eup	
3811254 Sapa-dong	52620	3811254	3811254	Sapa-dong	
3701113 Ocheon-eup	52618	3701113	3701113	Ocheon-eup	
3120058 Unjung 3(sam)-dong	52471	3120058	3120058	Unjung 3(sam)-dong	
3124061 Dongtan 1(il)-dong	52132	3124061	3124061	Dongtan 1(il)-dong	
35380 Buan-gun	52091	35380	35380	Buan-gun	
2504054 Oncheon 2(i)-dong	51733	2504054	2504054	Oncheon 2(i)-dong	
1112071 Jingwan-dong	51593	1112071	1112071	Jingwan-dong	
3811153 Myeonggok-dong	51589	3811153	3811153	Myeonggok-dong	
3304352 Bokdae 1(il)-dong	51411	3304352	3304352	Bokdae 1(il)-dong	
3107063 Bijeon 2(i)-dong	51312	3107063	3107063	Bijeon 2(i)-dong	
2231011 Hwawon-eup	51273	2231011	2231011	Hwawon-eup	
1116073 Hwagok 1(il)-dong	51084	1116073	1116073	Hwagok 1(il)-dong	
3123051 Gimpo 1(il)-dong	51036	3123051	3123051	Gimpo 1(il)-dong	
37320 Uiseong-gun	51021	37320	37320	Uiseong-gun	
36440 Yeonggwang-gun	51007	36440	36440	Yeonggwang-gun	
3901054 Ido 2(i)-dong	50877	3901054	3901054	Ido 2(i)-dong	
2403066 Hyodeok-dong	50810	2403066	2403066	Hyodeok-dong	
33330 Okcheon-gun	50704	33330	33330	Okcheon-gun	
2602057 Samsan-dong	50573	2602057	2602057	Samsan-dong	
33340 Yeongdong-gun	49542	33340	33340	Yeongdong-gun	
1125074 Gil-dong	49541	1125074	1125074	Gil-dong	
37420 Uljin-gun	49387	37420	37420	Uljin-gun	
2109051 U 1(il)-dong	49376	2109051	2109051	U 1(il)-dong	
3110169 Haengsin 3(sam)-dong	49267	3110169	3110169	Haengsin 3(sam)-dong	
2308075 Cheongna-2(i)dong	49180	2308075	2308075	Cheongna-2(i)dong	
3101459 Taejang-dong	49095	3101459	3101459	Taejang-dong	
3502069 Susong-dong	48971	3502069	3502069	Susong-dong	
3110454 Tanhyeon-dong	48766	3110454	3110454	Tanhyeon-dong	
3705072 Yangpo-dong	48556	3705072	3705072	Yangpo-dong	
36460 Wando-gun	48468	36460	36460	Wando-gun	
2404057 Yongbong-dong	48407	2404057	2404057	Yongbong-dong	
3705057 Seonjuwonnam-dong	48363	3705057	3705057	Seonjuwonnam-dong	
3401158 Cheongnyong-dong	48053	3401158	3401158	Cheongnyong-dong	
3103066 Songsan 2(i)-dong	48041	3103066	3103066	Songsan 2(i)-dong	
1120053 Sangdo 1(il)-dong	48000	1120053	1120053	Sangdo 1(il)-dong	
3807058 Hwalcheon-dong	47916	3807058	3807058	Hwalcheon-dong	
3127011 Sohol-eup	47733	3127011	3127011	Sohol-eup	
2308071 Geomdan-4(sa)dong	47729	2308071	2308071	Geomdan-4(sa)dong	
2404079 Geonguk-dong	47575	2404079	2404079	Geonguk-dong	
3113051 Hopyeong-dong	47217	3113051	3113051	Hopyeong-dong	
1112074 Yeokchon-dong	47201	1112074	1112074	Yeokchon-dong	
3603057 Deogyeon-dong	47137	3603057	3603057	Deogyeon-dong	
3101155 Yulcheon-dong	47056	3101155	3101155	Yulcheon-dong	
1111056 Gongneung 2(i)-dong	46767	1111056	1111056	Gongneung 2(i)-dong	
3304455 Yullyangsacheon-dong	46754	3304455	3304455	Yullyangsacheon-dong	
32050 Taebaek-si	46715	32050	32050	Taebaek-si	
3811251 Bansong-dong	46678	3811251	3811251	Bansong-dong	
3606011 Gwangyang-eup	46645	3606011	3606011	Gwangyang-eup	
3103058 Singok 2(i)-dong	46614	3103058	3103058	Singok 2(i)-dong	
3101458 Yeongtong 2(i)-dong	46548	3101458	3101458	Yeongtong 2(i)-dong	
3807011 Jinyeong-eup	46482	3807011	3807011	Jinyeong-eup	
32360 Cheorwon-gun	46025	32360	32360	Cheorwon-gun	
3107051 Jungang-dong	46014	3107051	3107051	Jungang-dong	
3401157 Sinbang-dong	45936	3401157	3401157	Sinbang-dong	
3109259 Wa-dong	45874	3109259	3109259	Wa-dong	
3120011 Munsan-eup	45871	3120011	3120011	Munsan-eup	
3202056 Dangu-dong	45805	3202056	3202056	Dangu-dong	
3710012 Jillyang-eup	45472	3710012	3710012	Jillyang-eup	
3119253 Sanggal-dong	45397	3119253	3119253	Sanggal-dong	
21010 Jung-gu	45377	21010	21010	Jung-gu	
3101162 Jeongja 3(sam)-dong	45369	3101162	3101162	Jeongja 3(sam)-dong	
3119357 Sanghyeon 1(il)-dong	45210	3119357	3119357	Sanghyeon 1(il)-dong	
3501165 Pyeonghwa 2(i)-dong	45171	3501165	3501165	Pyeonghwa 2(i)-dong	
2207061 Sindang-dong	45167	2207061	2207061	Sindang-dong	
3101356 Ingye-dong	45001	3101356	3101356	Ingye-dong	
1122066 Yangjae 1(il)-dong	44964	1122066	1122066	Yangjae 1(il)-dong	
3109158 Wolpi-dong	44954	3109158	3109158	Wolpi-dong	
38360 Hadong-gun	44918	38360	38360	Hadong-gun	
2603051 Bangeo-dong	44904	2603051	2603051	Bangeo-dong	
2308053 Yeonhui-dong	44897	2308053	2308053	Yeonhui-dong	
38400 Hapcheon-gun	44797	38400	38400	Hapcheon-gun	
2308051 Geomamgyeongseo-dong	44794	2308051	2308051	Geomamgyeongseo-dong	
3436011 Hongseong-eup	44608	3436011	3436011	Hongseong-eup	
1117068 Oryu 2(i)-dong	44562	1117068	1117068	Oryu 2(i)-dong	
3501166 Seosin-dong	44546	3501166	3501166	Seosin-dong	
1116074 Ujangsan-dong	44492	1116074	1116074	Ujangsan-dong	
2110062 Dadae 1(il)-dong	44307	2110062	2110062	Dadae 1(il)-dong	
2305074 Nonhyeongojan-dong	44287	2305074	2305074	Nonhyeongojan-dong	
3101462 Gwoanggyo 1(il)-dong	44267	3101462	3101462	Gwoanggyo 1(il)-dong	
38350 Namhae-gun	44248	38350	38350	Namhae-gun	
3401159 Sinan-dong	44207	3401159	3401159	Sinan-dong	
2202073 Ansim 1(il)-dong	44185	2202073	2202073	Ansim 1(il)-dong	
2405070 Cheomdan 2(i)-dong	44177	2405070	2405070	Cheomdan 2(i)-dong	
3105351 Seonggok-dong	44078	3105351	3105351	Seonggok-dong	
3101264 Gwonseon 2(i)-dong	44002	3101264	3101264	Gwonseon 2(i)-dong	
3304157 Yongam 1(il)-dong	43973	3304157	3304157	Yongam 1(il)-dong	
31350 Yeoncheon-gun	43846	31350	31350	Yeoncheon-gun	
3901065 Yeon-dong	43817	3901065	3901065	Yeon-dong	
3109154 Bono 1(il)-dong	43763	3109154	3109154	Bono 1(il)-dong	
3125053 Gwangnam-dong	43728	3125053	3125053	Gwangnam-dong	
3121054 jeungpo-dong	43727	3121054	3121054	jeungpo-dong	
3201067 Toegye-dong	43722	3201067	3201067	Toegye-dong	
36310 Damyang-gun	43634	36310	36310	Damyang-gun	
3110352 Jungsan-dong	43598	3110352	3110352	Jungsan-dong	
3103057 Singok 1(il)-dong	43594	3103057	3103057	Singok 1(il)-dong	
3101457 Yeongtong 1(il)-dong	43398	3101457	3101457	Yeongtong 1(il)-dong	
3124062 Dongtan 3(sam)-dong	43362	3124062	3124062	Dongtan 3(sam)-dong	
2207065 Sangin 1(il)-dong	43174	2207065	2207065	Sangin 1(il)-dong	
3109273 Hosu-dong	43123	3109273	3109273	Hosu-dong	
2108054 Geumgok-dong	43091	2108054	2108054	Geumgok-dong	
3118053 Sinjang 2(i)-dong	43075	3118053	3118053	Sinjang 2(i)-dong	
2107057 Yongho 1(il)-dong	43033	2107057	2107057	Yongho 1(il)-dong	
3119262 Yeongdeok-dong	42870	3119262	3119262	Yeongdeok-dong	
3809058 Gohyeon-dong	42846	3809058	3809058	Gohyeon-dong	
3123054 Pungmu-dong	42752	3123054	3123054	Pungmu-dong	
37400 Yecheon-gun	42702	37400	37400	Yecheon-gun	
3110459 Songsan-dong	42676	3110459	3110459	Songsan-dong	
32320 Hoengseong-gun	42669	32320	32320	Hoengseong-gun	
3603037 Haeryong-myeon	42630	3603037	3603037	Haeryong-myeon	
3401254 Ssangyong 2(i)-dong	42597	3401254	3401254	Ssangyong 2(i)-dong	
2108055 Hwamyeong 1(il)-dong	42445	2108055	2108055	Hwamyeong 1(il)-dong	
3115065 Jeongwang 1(il)-dong	42129	3115065	3115065	Jeongwang 1(il)-dong	
2604053 Nongso 3(sam)-dong	42076	2604053	2604053	Nongso 3(sam)-dong	
36450 Jangseong-gun	42058	36450	36450	Jangseong-gun	
1108084 Jongam-dong	41820	1108084	1108084	Jongam-dong	
1115071 Mok 5(o)-dong	41794	1115071	1115071	Mok 5(o)-dong	
2109070 Banyeo 1(il)-dong	41718	2109070	2109070	Banyeo 1(il)-dong	
1116070 Banghwa 1(il)-dong	41615	1116070	1116070	Banghwa 1(il)-dong	
37360 Cheongdo-gun	41596	37360	37360	Cheongdo-gun	
2207062 Wolseong 1(il)-dong	41485	2207062	2207062	Wolseong 1(il)-dong	
3115052 Sincheon-dong	41411	3115052	3115052	Sincheon-dong	
3125012 Chowol-eup	41352	3125012	3125012	Chowol-eup	
2402067 Pungam-dong	41306	2402067	2402067	Pungam-dong	
3120056 Unjung 1(il)-dong	41271	3120056	3120056	Unjung 1(il)-dong	
1111065 Sanggye 1(il)-dong	41263	1111065	1111065	Sanggye 1(il)-dong	
3101256 Seodun-dong	41211	3101256	3101256	Seodun-dong	
37380 Seongju-gun	41179	37380	37380	Seongju-gun	
3107012 Anjung-eup	41092	3107012	3107012	Anjung-eup	
3113052 Pyeongnae-dong	41002	3113052	3113052	Pyeongnae-dong	
3120055 Gyoha-dong	40943	3120055	3120055	Gyoha-dong	
3112052 Donggu-dong	40855	3112052	3112052	Donggu-dong	
3115064 Jeongwangbon-dong	40808	3115064	3115064	Jeongwangbon-dong	
3710052 Dongbu-dong	40709	3710052	3710052	Dongbu-dong	
36360 Boseong-gun	40688	36360	36360	Boseong-gun	
2207068 Dowon-dong	40656	2207068	2207068	Dowon-dong	
1113076 Yeonhui-dong	40604	1113076	1113076	Yeonhui-dong	
1107069 Sinnae 1(il)-dong	40539	1107069	1107069	Sinnae 1(il)-dong	
3117053 Ojeon-dong	40512	3117053	3117053	Ojeon-dong	
3807059 Saman-dong	40499	3807059	3807059	Saman-dong	
1112052 Bulgwang 1(il)-dong	40433	1112052	1112052	Bulgwang 1(il)-dong	
32340 Pyeongchang-gun	40427	32340	32340	Pyeongchang-gun	
3811152 Pallyong-dong	40372	3811152	3811152	Pallyong-dong	
1116051 Yeomchang-dong	40286	1116051	1116051	Yeomchang-dong	
3502074 Naun 3(sam)-dong	40240	3502074	3502074	Naun 3(sam)-dong	
2205079 Guam-dong	40224	2205079	2205079	Guam-dong	
2504065 Wonsinheung-dong	40194	2504065	2504065	Wonsinheung-dong	
1123076 Segok-dong	40184	1123076	1123076	Segok-dong	
2602059 Mugeo-dong	40097	2602059	2602059	Mugeo-dong	
3302063 Yeonsu-dong	40057	3302063	3302063	Yeonsu-dong	
3710053 Seobu 1(il)-dong	39987	3710053	3710053	Seobu 1(il)-dong	
3603066 Wangjo 1(il)dong	39846	3603066	3603066	Wangjo 1(il)dong	
3201066 Seoksa-dong	39841	3201066	3201066	Seoksa-dong	
3110162 Hwajeong 1(il)-dong	39802	3110162	3110162	Hwajeong 1(il)-dong	
3839011 Geochang-eup	39754	3839011	3839011	Geochang-eup	
3119256 Guseong-dong	39591	3119256	3119256	Guseong-dong	
2305052 Guwol 2(i)-dong	39579	2305052	2305052	Guwol 2(i)-dong	
3109152 Sa 1(il)-dong	39542	3109152	3109152	Sa 1(il)-dong	
3811154 Bongnim-dong	39474	3811154	3811154	Bongnim-dong	
2503070 Gasuwon-dong	39453	2503070	2503070	Gasuwon-dong	
2107053 Daeyeon 3(sam)-dong	39396	2107053	2107053	Daeyeon 3(sam)-dong	
