id	population	place	location
00	1363712	Whole country	00 Whole country
04	149105	Total for eups	04 Total for eups
05	228358	Total for myeons	05 Total for myeons
03	986249	Total for dongs	03 Total for dongs
11	337116	Seoul	11 Seoul
11010	15402	Jongno-gu	11010 Jongno-gu
1101053	808	Sajik-dong	1101053 Sajik-dong
1101054	207	Samcheong-dong	1101054 Samcheong-dong
1101055	855	Buam-dong	1101055 Buam-dong
1101056	805	Pyeongchang-dong	1101056 Pyeongchang-dong
1101057	125	Muak-dong	1101057 Muak-dong
1101058	179	Gyonam-dong	1101058 Gyonam-dong
1101060	301	Gahoe-dong	1101060 Gahoe-dong
1101061	919	Jongno 1早2早3早4(ilisamsa)-ga-dong	1101061 Jongno 1早2早3早4(ilisamsa)-ga-dong
1101063	623	Jongno 5早6(oryuk)-ga-dong	1101063 Jongno 5早6(oryuk)-ga-dong
1101064	901	Ihwa-dong	1101064 Ihwa-dong
1101067	1450	Changsin 1(il)-dong	1101067 Changsin 1(il)-dong
1101068	2328	Changsin 2(i)-dong	1101068 Changsin 2(i)-dong
1101069	339	Changsin 3(sam)-dong	1101069 Changsin 3(sam)-dong
1101070	617	Sungin 1(il)-dong	1101070 Sungin 1(il)-dong
1101071	1017	Sungin 2(i)-dong	1101071 Sungin 2(i)-dong
1101072	539	Cheongunhyoja-dong	1101072 Cheongunhyoja-dong
1101073	3389	Hyehwa-dong	1101073 Hyehwa-dong
11020	10457	Jung-gu	11020 Jung-gu
1102052	479	Sogong-dong	1102052 Sogong-dong
1102054	889	Hoehyeon-dong	1102054 Hoehyeon-dong
1102055	715	Myeong-dong	1102055 Myeong-dong
1102057	870	Pil-dong	1102057 Pil-dong
1102058	948	Jangchung-dong	1102058 Jangchung-dong
1102059	1176	Gwanghui-dong	1102059 Gwanghui-dong
1102060	85	Euljiro-dong	1102060 Euljiro-dong
1102065	519	Sindang 5(o)-dong	1102065 Sindang 5(o)-dong
1102067	1154	Hwanghak-dong	1102067 Hwanghak-dong
1102068	306	Jungnim-dong	1102068 Jungnim-dong
1102069	1690	Sindang-dong	1102069 Sindang-dong
1102070	629	Dasan-dong	1102070 Dasan-dong
1102071	431	Yaksu-dong	1102071 Yaksu-dong
1102072	338	Cheonggu-dong	1102072 Cheonggu-dong
1102073	228	Donghwa-dong	1102073 Donghwa-dong
11030	15093	Yongsan-gu	11030 Yongsan-gu
1103051	706	Huam-dong	1103051 Huam-dong
1103052	1341	Yongsan 2-ga-dong	1103052 Yongsan 2-ga-dong
1103053	621	Namyeong-dong	1103053 Namyeong-dong
1103057	230	Wonhyoro 2(i)-dong	1103057 Wonhyoro 2(i)-dong
1103058	213	Hyochang-dong	1103058 Hyochang-dong
1103059	209	Yongmun-dong	1103059 Yongmun-dong
1103063	1270	Ichon 1(il)-dong	1103063 Ichon 1(il)-dong
1103064	163	Ichon 2(i)-dong	1103064 Ichon 2(i)-dong
1103065	1441	Itaewon 1(il)-dong	1103065 Itaewon 1(il)-dong
1103066	1390	Itaewon 2(i)-dong	1103066 Itaewon 2(i)-dong
1103069	782	Seobinggo-dong	1103069 Seobinggo-dong
1103070	1267	Bogwang-dong	1103070 Bogwang-dong
1103071	1087	Cheongpa-dong	1103071 Cheongpa-dong
1103072	570	Wonhyoro 1(il)-dong	1103072 Wonhyoro 1(il)-dong
1103073	1416	Hangangno-dong	1103073 Hangangno-dong
1103074	2387	Hannam-dong	1103074 Hannam-dong
11040	9869	Seongdong-gu	11040 Seongdong-gu
1104052	453	Wangsimni 2(i)-dong	1104052 Wangsimni 2(i)-dong
1104054	767	Majang-dong	1104054 Majang-dong
1104055	1351	Sageun-dong	1104055 Sageun-dong
1104056	546	Haengdang 1(il)-dong	1104056 Haengdang 1(il)-dong
