id	location	population	id2	
31	Gyeonggi-do	12479061	31	
11	Seoul	9904312	11	
21	Busan	3448737	21	
38	Gyeongsangnam-do	3334524	38	
23	Incheon	2890451	23	
37	Gyeongsangbuk-do	2680294	37	
22	Daegu	2466052	22	
34	Chungcheongnam-do	2107802	34	
35	Jeollabuk-do	1834114	35	
36	Jeollanam-do	1799044	36	
33	Chungcheongbuk-do	1589347	33	
25	Daejeon	1538394	25	
32	Gangwon-do	1518040	32	
24	Gwangju	1502881	24	
31010	Suwon-si	1194313	31010	
26	Ulsan	1166615	26	
38110	Changwon-si	1059241	38110	
31100	Goyang-si	990073	31100	
31190	Yongin-si	971327	31190	
31020	Seongnam-si	948757	31020	
31050	Bucheon-si	843794	31050	
33040	Chungju-si	833276	33040	
31090	Ansan-si	747035	31090	
35010	Jeonju-si	658172	35010	
11240	Songpa-gu	634941	11240	
34010	Cheonan-si	629062	34010	
31130	Namyangju-si	629061	31130	
31240	Hwaseong-si	608725	31240	
22070	Dalseo-gu	607224	22070	
39	Jeju	605619	39	
31040	Anyang-si	585177	31040	
11160	Gangseo-gu	570507	11160	
11110	Nowon-gu	562996	11110	
23060	Bupyeong-gu	548461	23060	
11230	Gangnam-gu	541688	11230	
38070	Gimhae-si	534124	38070	
23050	Namdong-gu	527324	23050	
11210	Gwanak-gu	519622	11210	
37010	Pohang-si	511804	37010	
23080	Seo-gu	499540	23080	
25030	Seo-gu	491507	25030	
11120	Eunpyeong-gu	478374	11120	
31023	Bundang-gu	478339	31023	
11150	Yangcheon-gu	465512	11150	
24040	Buk-gu	459715	24040	
31070	Pyeongtaek-si	457873	31070	
11080	Seongbuk-gu	456844	11080	
39010	Jeju-si	451758	39010	
22050	Buk-gu	450579	22050	
11170	Guro-gu	444832	11170	
11250	Gangdong-gu	444385	11250	
31051	Wonmi-gu	440396	31051	
22060	Suseong-gu	437328	22060	
31150	Siheung-si	425184	31150	
31101	Deogyang-gu	425100	31101	
31030	Uijeongbu-si	421579	31030	
37050	Gumi-si	421075	37050	
11220	Seocho-gu	420804	11220	
31200	Paju-si	415345	31200	
24050	Gwangsan-gu	411722	24050	
21090	Haeundae-gu	409037	21090	
11200	Dongjak-gu	407894	11200	
31192	Giheung-gu	407238	31192	
11190	Yeongdeungpo-gu	406528	11190	
23030	Nam-gu	405746	23030	
11070	Jungnang-gu	403237	11070	
31091	Sangnok-gu	383508	31091	
11140	Mapo-gu	381330	11140	
21050	Busanjin-gu	376321	21050	
11050	Gwangjin-gu	368199	11050	
35011	Wansan-gu	367243	35011	
11060	Dongdaemun-gu	364787	11060	
31092	Danwon-gu	363527	31092	
31230	Gimpo-si	352683	31230	
34012	Sebuk-gu	351281	34012	
25040	Yuseong-gu	350015	25040	
38030	Jinju-si	349788	38030	
31012	Gwonseon-gu	349339	31012	
26020	Nam-gu	341363	26020	
11100	Dobong-gu	340095	11100	
31042	Dongan-gu	339872	31042	
22020	Dong-gu	339608	22020	
31060	Gwangmyeong-si	338509	31060	
31014	Yeongtong-gu	336460	31014	
21100	Saha-gu	334762	21100	
31193	Suji-gu	332197	31193	
32020	Wonju-si	330854	32020	
23070	Gyeyang-gu	327311	23070	
11090	Gangbuk-gu	319992	11090	
34040	Asan-si	319929	34040	
23040	Yeonsu-gu	317172	23040	
31250	Gwangju-si	310278	31250	
11130	Seodaemun-gu	308768	11130	
24020	Seo-gu	305512	24020	
35030	Iksan-si	301723	35030	
31011	Jangan-gu	299611	31011	
21080	Buk-gu	299182	21080	
38100	Yangsan-si	297532	38100	
11040	Seongdong-gu	295006	11040	
35012	Deokjin-gu	290929	35012	
31104	Ilsanseo-gu	287048	31104	
31160	Gunpo-si	285721	31160	
21070	Nam-gu	283741	21070	
32010	Chuncheon-si	281596	32010	
37100	Gyeongsan-si	278500	37100	
31103	Ilsandong-gu	277925	31103	
34011	Dongnam-gu	277781	34011	
35020	Gunsan-si	275155	35020	
36020	Yeosu-si	273761	36020	
37012	Buk-gu	267934	37012	
36030	Suncheon-si	265390	36030	
37020	Gyeongju-si	262310	37020	
21060	Dongnae-gu	262154	21060	
38090	Geoje-si	261371	38090	
33043	Heungdeok-gu	255542	33043	
38111	Uichang-gu	255200	38111	
11180	Geumcheon-gu	250690	11180	
25020	Jung-gu	250434	25020	
21110	Geumjeong-gu	249444	21110	
25010	Dong-gu	247975	25010	
31041	Manan-gu	245305	31041	
31022	Jungwon-gu	244451	31022	
37011	Nam-gu	243870	37011	
21150	Sasang-gu	240709	21150	
36010	Mokpo-si	239524	36010	
26010	Jung-gu	236988	26010	
