id	location	population	id2	
38112	Seongsan-gu	234908	38112	
31191	Cheoin-gu	231892	31191	
11030	Yongsan-gu	227282	11030	
31021	Sujeong-gu	225967	31021	
26310	Ulju-gun	222739	26310	
33042	Seowon-gu	222721	33042	
24030	Nam-gu	221759	24030	
31052	Sosa-gu	221553	31052	
32030	Gangneung-si	215677	32030	
31140	Osan-si	213840	31140	
33020	Chungju-si	211005	33020	
31210	Icheon-si	209003	31210	
31013	Paldal-gu	208903	31013	
38114	Masanhoewon-gu	208766	38114	
31260	Yangju-si	205988	31260	
29	Sejong-si	204088	29	
29010	Sejong-si	204088	29010	
21130	Yeonje-gu	203527	21130	
22030	Seo-gu	202963	22030	
25050	Daedeok-gu	198463	25050	
31220	Anseong-si	194765	31220	
22310	Dalseong-gun	189852	22310	
26040	Buk-gu	188664	26040	
33044	Cheongwon-gu	183136	33044
33310	Cheongwon-gu	123984	33310
31053	Ojeong-gu	181845	31053	
38115	Jinhae-gu	181422	38115	
31120	Guri-si	180063	31120	
38113	Masanhappo-gu	178945	38113	
26030	Dong-gu	176861	26030	
21140	Suyeong-gu	173069	21140	
33041	Sangdang-gu	171877	33041	
34050	Seosan-si	169221	34050	
37040	Andong-si	168581	37040	
34080	Dangjin-si	163762	34080	
31270	Pocheon-si	163388	31270	
11010	Jongno-gu	161521	11010	
22040	Nam-gu	160164	22040	
31170	Uiwang-si	154879	31170	
31180	Hanam-si	154838	31180	
39020	Seogwipo-si	153861	39020	
21310	Gijang-gun	148073	21310	
36060	Gwangyang-si	144414	36060	
37030	Gimcheon-si	137540	37030	
38050	Tongyeong-si	137208	38050	
33030	Jecheon-si	136350	33030	
21040	Yeongdo-gu	129515	21040	
11020	Jung-gu	128478	11020	
34060	Nonsan-si	124246	34060	
37390	Chilgok-gun	122462	37390	
34020	Gongju-si	113542	34020	
38060	Sacheon-si	113335	38060	
23010	Jung-gu	112910	23010	
21020	Seo-gu	111996	21020	
35040	Jeongeup-si	110627	35040	
31280	Yeoju-si	109937	31280	
37060	Yeongju-si	109266	37060	
24010	Dong-gu	104173	24010	
38080	Miryang-si	103069	38080	
33370	Eumseong-gun	102023	33370	
31380	Yangpyeong-gun	101930	31380	
34030	Boryeong-si	101852	34030	
37080	Sangju-si	98760	37080	
37070	Yeongcheon-si	97669	37070	
31080	Dongducheon-si	97424	31080	
3113013	Hwado-eup	96902	3113013	
35310	Wanju-gun	95357	35310	
3113012	Jinjeop-eup	94271	3113012	
34360	Hongseong-gun	94114	34360	
21120	Gangseo-gu	92628	21120	
36040	Naju-si	92582	36040	
32040	Donghae-si	90255	32040	
21030	Dong-gu	89202	21030	
3807055	Bukbu-dong	84627	3807055	
3125011	Opo-eup	84338	3125011	
35060	Gimje-si	84269	35060	
3807054	Naeoe-dong	82544	3807054	
34370	Yesan-gun	81747	34370	
36420	Muan-gun	80521	36420	
35050	Namwon-si	80499	35050	
32060	Sokcho-si	79846	32060	
22010	Jung-gu	78334	22010	
2405075	Suwan-dong	77348	2405075	
3501173	Hyoja 4(sa)-dong	76003	3501173	
3119258	Dongbaek-dong	75298	3119258	
3124014	Hyangnam-eup	72578	3124014	
3811411	Naeseo-eup	72321	3811411	
37090	Mungyeong-si	71863	37090	
3124012	Bongdam-eup	71625	3124012	
33350	Jincheon-gun	71152	33350	
23020	Dong-gu	71054	23020	
2631014	Beomseo-eup	70852	2631014	
2131013	Jeonggwan-eup	70228	2131013	
32070	Samcheok-si	69509	32070	
38320	Haman-gun	69355	38320	
36400	Haenam-gun	69237	36400	
34330	Buyeo-gun	69017	34330	
3404012	Baebang-eup	68783	3404012	
3810012	Mulgeum-eup	68456	3810012	
3113011	Wabu-eup	67426	3113011	
32310	Hongcheon-gun	67190	32310	
3701265	Jangnyang-dong	66722	3701265	
3114052	Daewon-dong	66120	3114052	
31110	Gwacheon-si	64817	31110	
2207064	Jincheon-dong	63367	2207064	
2231013	Dasa-eup	63151	2231013	
3101263	Geumho-dong	62557	3101263	
36350	Goheung-gun	62477	36350	
23310	Ganghwa-gun	62291	23310	
38330	Changnyeong-gun	61635	38330	
36410	Yeongam-gun	61535	36410	
36370	Hwasun-gun	61380	36370	
3119354	Jukjeon 1(il)-dong	60787	3119354	
38390	Geochang-gun	60464	38390	
34380	Taean-gun	59723	34380	
31370	Gapyeong-gun	58909	31370	
3109263	Wongokbon-dong	57928	3109263	
3122011	Gongdo-eup	57922	3122011	
3705070	Indong-dong	57565	3705070	
3113057	Byeolnae-dong	56472	3113057	
34310	Geumsan-gun	55923	34310	
3116052	Gunpo 2(i)-dong	55740	3116052	
35370	Gochang-gun	55665	35370	
34340	Seocheon-gun	54768	34340	
2901054	Arum-dong	54410	2901054	
3901066	Nohyeong-dong	54346	3901066	
3109266	Choji-dong	54270	3109266	
3304259	Seonghwagaesinjungnim-dong	54099	3304259	
3125052	Songjeong-dong	54091	3125052	
3113015	Onam-eup	54026	3113015	
3807061	Jangyu 1(il)-dong	54020	3807061	
3114054	Sinjang-dong	54014	3114054	
38340	Goseong-gun	53882	38340	
1115066	Sinjeong 3(sam)-dong	53880	1115066	
3807063	Jangyu 3(sam)-dong	53836	3807063	
3304412	Ochang-eup	53774	3304412	
2202075	Ansim 3早4(samsa)-dong	53270	2202075	
3126052	Yangju 2(i)-dong	53186	3126052	
3304354	Gagyeong-dong	52901	3304354	
2901011	Jochiwon-eup	52834	2901011	
3606053	Jungma-dong	52805	3606053	
2131011	Gijang-eup	52769	2131011	
3811254	Sapa-dong	52620	3811254	
3701113	Ocheon-eup	52618	3701113	
3120058	Unjung 3(sam)-dong	52471	3120058	
3124061	Dongtan 1(il)-dong	52132	3124061	
35380	Buan-gun	52091	35380	
2504054	Oncheon 2(i)-dong	51733	2504054	
1112071	Jingwan-dong	51593	1112071	
3811153	Myeonggok-dong	51589	3811153	
3304352	Bokdae 1(il)-dong	51411	3304352	
3107063	Bijeon 2(i)-dong	51312	3107063	
2231011	Hwawon-eup	51273	2231011	
1116073	Hwagok 1(il)-dong	51084	1116073	
3123051	Gimpo 1(il)-dong	51036	3123051	
37320	Uiseong-gun	51021	37320	
36440	Yeonggwang-gun	51007	36440	
3901054	Ido 2(i)-dong	50877	3901054	
2403066	Hyodeok-dong	50810	2403066	
33330	Okcheon-gun	50704	33330	
2602057	Samsan-dong	50573	2602057	
33340	Yeongdong-gun	49542	33340	
1125074	Gil-dong	49541	1125074	
37420	Uljin-gun	49387	37420	
2109051	U 1(il)-dong	49376	2109051	
3110169	Haengsin 3(sam)-dong	49267	3110169	
2308075	Cheongna-2(i)dong	49180	2308075	
3101459	Taejang-dong	49095	3101459	
3502069	Susong-dong	48971	3502069	
3110454	Tanhyeon-dong	48766	3110454	
3705072	Yangpo-dong	48556	3705072	
36460	Wando-gun	48468	36460	
2404057	Yongbong-dong	48407	2404057	
3705057	Seonjuwonnam-dong	48363	3705057	
3401158	Cheongnyong-dong	48053	3401158	
3103066	Songsan 2(i)-dong	48041	3103066	
1120053	Sangdo 1(il)-dong	48000	1120053	
3807058	Hwalcheon-dong	47916	3807058	
3127011	Sohol-eup	47733	3127011	
2308071	Geomdan-4(sa)dong	47729	2308071	
2404079	Geonguk-dong	47575	2404079	
3113051	Hopyeong-dong	47217	3113051	
1112074	Yeokchon-dong	47201	1112074	
3603057	Deogyeon-dong	47137	3603057	
3101155	Yulcheon-dong	47056	3101155	
1111056	Gongneung 2(i)-dong	46767	1111056	
3304455	Yullyangsacheon-dong	46754	3304455	
32050	Taebaek-si	46715	32050	
3811251	Bansong-dong	46678	3811251	
3606011	Gwangyang-eup	46645	3606011	
3103058	Singok 2(i)-dong	46614	3103058	
3101458	Yeongtong 2(i)-dong	46548	3101458	
3807011	Jinyeong-eup	46482	3807011	
32360	Cheorwon-gun	46025	32360	
3107051	Jungang-dong	46014	3107051	
3401157	Sinbang-dong	45936	3401157	
3109259	Wa-dong	45874	3109259	
3120011	Munsan-eup	45871	3120011	
3202056	Dangu-dong	45805	3202056	
3710012	Jillyang-eup	45472	3710012	
3119253	Sanggal-dong	45397	3119253	
21010	Jung-gu	45377	21010	
3101162	Jeongja 3(sam)-dong	45369	3101162	
3119357	Sanghyeon 1(il)-dong	45210	3119357	
3501165	Pyeonghwa 2(i)-dong	45171	3501165	
2207061	Sindang-dong	45167	2207061	
3101356	Ingye-dong	45001	3101356	
1122066	Yangjae 1(il)-dong	44964	1122066	
3109158	Wolpi-dong	44954	3109158	
38360	Hadong-gun	44918	38360	
2603051	Bangeo-dong	44904	2603051	
2308053	Yeonhui-dong	44897	2308053	
38400	Hapcheon-gun	44797	38400	
2308051	Geomamgyeongseo-dong	44794	2308051	
3436011	Hongseong-eup	44608	3436011	
1117068	Oryu 2(i)-dong	44562	1117068	
3501166	Seosin-dong	44546	3501166	
1116074	Ujangsan-dong	44492	1116074	
2110062	Dadae 1(il)-dong	44307	2110062	
2305074	Nonhyeongojan-dong	44287	2305074	
3101462	Gwoanggyo 1(il)-dong	44267	3101462	
38350	Namhae-gun	44248	38350	
3401159	Sinan-dong	44207	3401159	
2202073	Ansim 1(il)-dong	44185	2202073	
2405070	Cheomdan 2(i)-dong	44177	2405070	
3105351	Seonggok-dong	44078	3105351	
3101264	Gwonseon 2(i)-dong	44002	3101264	
3304157	Yongam 1(il)-dong	43973	3304157	
31350	Yeoncheon-gun	43846	31350	
3901065	Yeon-dong	43817	3901065	
3109154	Bono 1(il)-dong	43763	3109154	
3125053	Gwangnam-dong	43728	3125053	
3121054	jeungpo-dong	43727	3121054	
3201067	Toegye-dong	43722	3201067	
36310	Damyang-gun	43634	36310	
3110352	Jungsan-dong	43598	3110352	
3103057	Singok 1(il)-dong	43594	3103057	
3101457	Yeongtong 1(il)-dong	43398	3101457	
3124062	Dongtan 3(sam)-dong	43362	3124062	
2207065	Sangin 1(il)-dong	43174	2207065	
3109273	Hosu-dong	43123	3109273	
2108054	Geumgok-dong	43091	2108054	
3118053	Sinjang 2(i)-dong	43075	3118053	
2107057	Yongho 1(il)-dong	43033	2107057	
3119262	Yeongdeok-dong	42870	3119262	
3809058	Gohyeon-dong	42846	3809058	
3123054	Pungmu-dong	42752	3123054	
37400	Yecheon-gun	42702	37400	
3110459	Songsan-dong	42676	3110459	
32320	Hoengseong-gun	42669	32320	
3603037	Haeryong-myeon	42630	3603037	
3401254	Ssangyong 2(i)-dong	42597	3401254	
2108055	Hwamyeong 1(il)-dong	42445	2108055	
3115065	Jeongwang 1(il)-dong	42129	3115065	
2604053	Nongso 3(sam)-dong	42076	2604053	
36450	Jangseong-gun	42058	36450	
1108084	Jongam-dong	41820	1108084	
1115071	Mok 5(o)-dong	41794	1115071	
2109070	Banyeo 1(il)-dong	41718	2109070	
1116070	Banghwa 1(il)-dong	41615	1116070	
37360	Cheongdo-gun	41596	37360	
2207062	Wolseong 1(il)-dong	41485	2207062	
3115052	Sincheon-dong	41411	3115052	
3125012	Chowol-eup	41352	3125012	
2402067	Pungam-dong	41306	2402067	
3120056	Unjung 1(il)-dong	41271	3120056	
1111065	Sanggye 1(il)-dong	41263	1111065	
3101256	Seodun-dong	41211	3101256	
37380	Seongju-gun	41179	37380	
3107012	Anjung-eup	41092	3107012	
3113052	Pyeongnae-dong	41002	3113052	
3120055	Gyoha-dong	40943	3120055	
3112052	Donggu-dong	40855	3112052	
3115064	Jeongwangbon-dong	40808	3115064	
3710052	Dongbu-dong	40709	3710052	
36360	Boseong-gun	40688	36360	
2207068	Dowon-dong	40656	2207068	
1113076	Yeonhui-dong	40604	1113076	
1107069	Sinnae 1(il)-dong	40539	1107069	
3117053	Ojeon-dong	40512	3117053	
3807059	Saman-dong	40499	3807059	
1112052	Bulgwang 1(il)-dong	40433	1112052	
32340	Pyeongchang-gun	40427	32340	
3811152	Pallyong-dong	40372	3811152	
1116051	Yeomchang-dong	40286	1116051	
3502074	Naun 3(sam)-dong	40240	3502074	
2205079	Guam-dong	40224	2205079	
2504065	Wonsinheung-dong	40194	2504065	
1123076	Segok-dong	40184	1123076	
2602059	Mugeo-dong	40097	2602059	
3302063	Yeonsu-dong	40057	3302063	
3710053	Seobu 1(il)-dong	39987	3710053	
3603066	Wangjo 1(il)dong	39846	3603066	
3201066	Seoksa-dong	39841	3201066	
3110162	Hwajeong 1(il)-dong	39802	3110162	
3839011	Geochang-eup	39754	3839011	
3119256	Guseong-dong	39591	3119256	
2305052	Guwol 2(i)-dong	39579	2305052	
3109152	Sa 1(il)-dong	39542	3109152	
3811154	Bongnim-dong	39474	3811154	
2503070	Gasuwon-dong	39453	2503070	
2107053	Daeyeon 3(sam)-dong	39396	2107053	
1123079	Daechi 2(i)-dong	39389	1123079	
3501265	Songcheon 1(il)-dong	39356	3501265	
34070	Gyeryong-si	39243	34070	
1120068	Daebang-dong	39223	1120068	
2305065	Jangsuseochang-dong	39160	2305065	
1111079	Gongneung 1(il)-dong	39152	1111079	
1111078	Junggye 2早3(i早sam)-dong	39107	1111078	
1116067	Balsan 1(il)-dong	39035	1116067	
2305051	Guwol 1(il)-dong	39011	2305051	
3101453	Maetan 3(sam)-dong	38963	3101453	
2306065	Samsan 1(il)-dong	38941	2306065	
2503060	Dunsan 2(i)-dong	38872	2503060	
1117071	Guro 2(i)-dong	38856	1117071	
1114073	Seongsan 2(i)-dong	38765	1114073	
3119352	Pungdoekcheon 2(i)-dong	38598	3119352	
2307061	Gyeyang 2(i)-dong	38571	2307061	
3811255	Gaeumjeong-dong	38493	3811255	
3104256	Gwanyang 1(il)-dong	38470	3104256	
38380	Hamyang-gun	38454	38380	
3637011	Hwasun-eup	38360	3637011	
1120071	Heukseok-dong	38179	1120071	
3121012	Bubal-eup	38085	3121012	
3401260	Buseong 1(il)-dong	38008	3401260	
33360	Goesan-gun	37830	33360	
3401261	Buseong 2(i)-dong	37794	3401261	
3113056	Donong-dong	37756	3113056	
2113063	Yeonsan 9(gu)-dong	37367	2113063	
3110354	Pungsan-dong	37310	3110354	
3503061	Mohyeon-dong	37217	3503061	
2304063	Songdo 2(i)dong	37215	2304063	
3811151	Uichang-dong	37200	3811151	
1118057	Siheung 1(il)-dong	37152	1118057	
1114077	gongdeok-dong	37069	1114077	
2306062	Cheongcheon 2(i)-dong	36989	2306062	
32330	Yeongwol-gun	36967	32330	
3401258	Baekseok-dong	36965	3401258	
2303060	Hagik 1(il)-dong	36958	2303060	
3701211	Heunghae-eup	36949	3701211	
2112054	Myeongji-dong	36901	2112054	
3115061	Jeongwang 2(i)-dong	36899	3115061	
36380	Jangheung-gun	36890	36380	
3125051	Gyeongan-dong	36879	3125051	
3116051	Gunpo 1(il)-dong	36864	3116051	
3810059	Yangju-dong	36839	3810059	
3110453	Ilsan 3(sam)-dong	36799	3110453	
1117051	Sindorim-dong	36798	1117051	
3123059	Gimpo 2(i)-dong	36732	3123059	
32350	Jeongseon-gun	36701	32350	
3106060	Cheolsan 3(sam)-dong	36687	3106060	
3124063	Dongtan 4(sa)-dong	36658	3124063	
3124052	Jinan-dong	36571	3124052	
3103065	Howon 2(i)-dong	36556	3103065	
37350	Yeongdeok-gun	36539	37350	
3501256	Inhu 3(sam)-dong	36507	3501256	
3437011	Yesan-eup	36493	3437011	
3101255	Pyeong-dong	36412	3101255	
3124060	Dongtan 2(i)-dong	36409	3124060	
2404080	yangsan-dong	36388	2404080	
3107062	Bijeon 1(il)-dong	36290	3107062	
1108066	Gireum 1(il)-dong	36265	1108066	
36480	Sinan-gun	36235	36480	
33390	Jeungpyeong-gun	36173	33390	
3901052	Ildo 2(i)-dong	36172	3901052	
1125072	Amsa 1(il)-dong	36160	1125072	
1106087	Jangan 1(il)-dong	35902	1106087	
3119261	Singal-dong	35882	3119261	
1120072	Noryangjin 1(il)-dong	35823	1120072	
3109270	Seonbu 3(sam)-dong	35751	3109270	
3120057	Unjung 2(i)-dong	35670	3120057	
1105063	Gwangjang-dong	35634	1105063	
1121078	Euncheon-dong	35615	1121078	
2303059	Yonghyeon 5(o)-dong	35605	2303059	
2305073	Nonhyeon-2(i)-dong	35604	2305073	
1125073	Cheonho 2(i)-dong	35577	1125073	
2206073	Gosan 3(sam)-dong	35538	2206073	
3811565	Ungdong 2(i)-dong	35533	3811565	
3119359	Seongbok-dong	35515	3119359	
3120052	Geumchon 2(i)-dong	35294	3120052	
2405073	Sinchang-dong	35291	2405073	
1107071	Myeonmokbon-dong	35279	1107071	
2601060	Taehwa-dong	35274	2601060	
2111068	Namsan-dong	35236	2111068	
3109153	Sa 2(i)-dong	35222	3109153	
1115072	Sinjeong 4(sa)-dong	35205	1115072	
1116055	Hwagokbon-dong	35145	1116055	
36390	Gangjin-gun	35126	36390	
1108085	Seokgwan-dong	35117	1108085	
3642013	Samhyang-eup	35081	3642013	
3105163	Jung 1(il)-dong	34995	3105163	
2306068	Bugae 3(sam)-dong	34985	2306068	
2111070	Guseo 2(i)-dong	34941	2111070	
1124080	Jamsil 3(sam)-dong	34908	1124080	
1124060	Ogeum-dong	34884	1124060	
3304256	Bunpyeong-dong	34874	3304256	
1117072	Gaebong 1(il)-dong	34778	1117072	
2207072	Yongsan 1(il)-dong	34774	2207072	
2304064	Songdo 1(il)-dong	34751	2304064	
3123056	Janggi-dong	34745	3123056	
1124079	Jamsil 2(i)-dong	34741	1124079	
3110163	Hwajeong 2(i)-dong	34682	3110163	
3119259	Bojeong-dong	34657	3119259	
3202067	Musil-dong	34545	3202067	
3602065	Ssangbong-dong	34535	3602065	
1117056	Guro 5(o)-dong	34531	1117056	
1124081	Jangji-dong	34517	1124081	
1119056	Dangsan	34487	1119056	2(i)-dong
2106057	Oncheon 3(sam)-dong	34465	2106057	
3103055	Howon 1(il)-dong	34462	3103055	
3110166	Haengsin 2(i)-dong	34421	3110166	
1111077	Sanggye 6早7(yuk早chil)-dong	34410	1111077	
3119351	Pungdoekcheon 1(il)-dong	34401	3119351	
1123064	Yeoksam 1(il)-dong	34372	1123064	
1116054	Deungchon 3(sam)-dong	34325	1116054	
2306051	Bupyeong 1(il)-dong	34259	2306051	
3101156	Jeongja 1(il)-dong	34248	3101156	
3807062	Jangyu 2(i)-dong	34207	3807062	
2115063	Hakjang-dong	34156	2115063	
3231011	Hongcheon-eup	34139	3231011	
3339014	Jeungpyeong-eup	34118	3339014	
37370	Goryeong-gun	34117	37370	
2504051	Jinjam-dong	34094	2504051	
1124063	Seokchon-dong	34038	1124063	
38370	Sancheong-gun	34034	38370	
3119111	Pogok-eup	34016	3119111	
3119353	Sinbong-dong	33876	3119353	
2307058	Jakjeonseoun-dong	33872	2307058	
3110160	Gwansan-dong	33853	3110160	
2306054	Bupyeong 4(sa)-dong	33842	2306054	
2206071	Gosan 1(il)-dong	33824	2206071	
3701158	Hyogok-dong	33733	3701158	
3103059	Songsan 1(il)-dong	33715	3103059	
3104161	Seoksu 2(i)-dong	33647	3104161	
1111076	Sanggye 3早4(sam早sa)-dong	33592	1111076	
1124067	Garak 2(i)-dong	33563	1124067	
1117064	Gaebong 2(i)-dong	33546	1117064	
1107064	Muk 1(il)-dong	33539	1107064	
1106089	Imun 1(il)-dong	33531	1106089	
2306058	Sangok 2(i)-dong	33494	2306058	
3115051	Daeya-dong	33482	3115051	
1111053	Wolgye 3(sam)-dong	33419	1111053	
1113072	Bukgajwa 2(i)-dong	33399	1113072	
3701112	Yeonil-eup	33393	3701112	
3710011	Hayang-eup	33386	3710011	
3739013	Seokjeok-eup	33348	3739013	
3811353	Woryeong-dong	33348	3811353	
1109073	Samgaksan-dong	33333	1109073	
1118052	Doksan 1(il)-dong	33314	1118052	
3119356	Dongcheon-dong	33287	3119356	
3105255	Sosabon 3(sam)-dong	33216	3105255	
3803072	cheonjeon-dong	33204	3803072	
3304155	Geumcheon-dong	33202	3304155	
1123065	Yeoksam 2(i)-dong	33171	1123065	
2207073	Yongsan 2(i)-dong	33115	2207073	
3106067	Soha 2(i)-dong	33064	3106067	
2109067	Jwa 2(i)-dong	32988	2109067	
1121083	Miseong-dong	32977	1121083	
2307052	Hyoseong 2(i)-dong	32935	2307052	
3503070	Samseong-dong	32898	3503070	
1124064	Samjeon-dong	32892	1124064	
1121079	Seonghyeon-dong	32802	1121079	
3105170	Sang 3(sam)-dong	32765	3105170	
2404078	Ilgok-dong	32753	2404078	
1125051	Gangil-dong	32745	1125051	
1112057	Gusan-dong	32628	1112057	
3404053	Onyang 3(sam)-dong	32624	3404053	
2305072	Nonhyeon-1(il)-dong	32596	2305072	
2604052	Nongso 2(i)-dong	32563	2604052	
3101157	Jeongja 2(i)-dong	32537	3101157	
33320	Boeun-gun	32522	33320	
3119153	Yurim-dong	32492	3119153	
3105164	Jung 2(i)-dong	32452	3105164	
2405071	Unnam-dong	32438	2405071	
2109064	Jaesong 1(il)-dong	32421	2109064	
3739011	Waegwan-eup	32400	3739011	
2301062	Yeongjong-dong	32377	2301062	
3110457	Daehwa-dong	32335	3110457	
3110159	Goyang-dong	32305	3110159	
1114074	Sangam-dong	32292	1114074	
3117055	Naeson 2(i)-dong	32281	3117055	
1123067	Dogok 2(i)-dong	32275	1123067	
3406051	Chwiam-dong	32254	3406051	
1107073	Mangubon-dong	32161	1107073	
2115064	Eomgung-dong	32131	2115064	
1118054	Doksan 3(sam)-dong	32078	1118054	
2108063	Hwamyeong 3(sam)-dong	32078	2108063	
2104065	Dongsam 1(il)-dong	31988	2104065	
2105076	Gaegeum 3(sam)-dong	31986	2105076	
1122055	Jamwon-dong	31973	1122055	
3109174	I-dong	31967	3109174	
1109075	Insu-dong	31918	1109075	
2503073	Gwanjeo 2(i)-dong	31891	2503073	
2106051	Sumin-dong	31790	2106051	
3102367	Gumi-dong	31772	3102367	
3105169	Sang 2(il)-dong	31720	3105169	
1106081	Yongsin-dong	31711	1106081	
3705012	Goa-eup	31696	3705012	
2205082	Dongcheon-dong	31683	2205082	
34350	Cheongyang-gun	31653	34350	
3115063	Jeongwang 4(sa)-dong	31630	3115063	
37410	Bonghwa-gun	31628	37410	
3101160	Jowon 1(il)-dong	31573	3101160	
2205066	Bokhyeon 2(i)-dong	31563	2205066	
2504067	Noeun 3(sam)-dong	31563	2504067	
3110351	Siksa-dong	31560	3110351	
3106066	Soha 1(il)-dong	31559	3106066	
2305057	Ganseok 3(sam)-dong	31521	2305057	
2106062	Allak 2(i)-dong	31500	2106062	
1112058	Daejo-dong	31426	1112058	
3404033	Tangjeong-myeon	31421	3404033	
3401211	Seonghwan-eup	31403	3401211	
1119072	Daerim 3(sam)-dong	31380	1119072	
36430	Hampyeong-gun	31367	36430	
2402066	Chipyeong-dong	31365	2402066	
1112059	Eungam 1(il)-dong	31354	1112059	
1115051	Mok 1(il)-dong	31336	1115051	
3113032	Toegyewon-myeon	31318	3113032	
2307056	Jakjeon 1(il)-dong	31316	2307056	
2306072	Samsan 2(i)-dong	31277	2306072	
2405056	Eoryong-dong	31265	2405056	
3102363	Yatap 3(sam)-dong	31230	3102363	
3102358	Seohyeon 1(il)-dong	31222	3102358	
32390	Inje-gun	31219	32390	
3335011	Jincheon-eup	31194	3335011	
3810056	Pyeongsan-dong	31167	3810056	
3811253	Sangnam-dong	31157	3811253	
1119054	Yeoui-dong	31149	1119054	
1106088	Jangan 2(i)-dong	31120	1106088	
