month_label,day,oldvalue,value,value_rank,month,rank,rank_label,birthdate,conception_date
Sep,9,"12,131",12301,9,9,1,1st,9/9,12/17
Sep,19,"12,468",12229,9,9,2,2nd,9/19,12/27
Sep,12,"12,464",12224,9,9,3,3rd,9/12,12/20
Sep,17,"12,189",12148,9,9,4,4th,9/17,12/25
Sep,10,"12,165",12143,9,9,5,5th,9/10,12/18
Jul,7,"11,927",12108,9,7,6,6th,7/7,10/14
Sep,20,"12,208",12107,9,9,7,7th,9/20,12/28
Sep,15,"11,942",12087,9,9,8,8th,9/15,12/23
Sep,16,"11,953",12072,9,9,9,9th,9/16,12/24
Sep,18,"12,291",12055,9,9,10,10th,9/18,12/26
Dec,20,"12,112",12009,9,12,11,11th,12/20,3/29
Sep,26,"12,246",11993,8,9,12,12th,9/26,1/3
Sep,8,"11,817",11992,8,9,13,13th,9/8,12/16
Sep,23,"11,864",11974,8,9,14,14th,9/23,12/31
Dec,29,"11,816",11956,8,12,15,15th,12/29,4/7
Aug,8,"12,185",11951,8,8,16,16th,8/8,11/15
Sep,24,"12,000",11945,8,9,17,17th,9/24,1/1
Jul,8,"11,794",11944,8,7,18,18th,7/8,10/15
Dec,19,"12,209",11935,8,12,19,19th,12/19,3/28
Aug,29,"12,160",11924,8,8,20,20th,8/29,12/6
Aug,15,"12,152",11921,8,8,21,21st,8/15,11/22
Sep,22,"11,773",11920,8,9,22,22nd,9/22,12/30
Dec,30,"11,791",11889,8,12,23,23rd,12/30,4/8
Sep,14,"11,784",11882,8,9,24,24th,9/14,12/22
Sep,25,"12,123",11866,8,9,25,25th,9/25,1/2
Sep,27,"11,929",11861,8,9,26,26th,9/27,1/4
Jul,1,"11,724",11860,8,7,27,27th,7/1,10/8
Dec,28,"11,759",11855,8,12,28,28th,12/28,4/6
Aug,28,"12,092",11855,8,8,28,28th,8/28,12/5
Jul,2,"11,876",11828,8,7,30,30th,7/2,10/9
Aug,22,"12,064",11825,8,8,31,31st,8/22,11/29
Sep,21,"11,715",11813,8,9,32,32nd,9/21,12/29
Sep,13,"11,876",11801,8,9,33,33rd,9/13,12/21
Aug,30,"11,883",11800,8,8,34,34th,8/30,12/7
Jul,11,"12,024",11794,8,7,35,35th,7/11,10/18
Aug,16,"11,861",11788,8,8,36,36th,8/16,11/23
Aug,1,"12,004",11775,8,8,37,37th,8/1,11/8
Jul,18,"12,030",11772,8,7,38,38th,7/18,10/25
Aug,20,"11,806",11771,8,8,39,39th,8/20,11/27
Jul,9,"11,803",11769,8,7,40,40th,7/9,10/16
Jul,16,"11,801",11768,8,7,41,41st,7/16,10/23
Jul,25,"11,984",11768,8,7,41,41st,7/25,11/1
Jul,15,"11,624",11754,8,7,43,43rd,7/15,10/22
Aug,12,"11,624",11749,8,8,44,44th,8/12,11/19
Jul,10,"11,976",11738,8,7,45,45th,7/10,10/17
Aug,27,"11,778",11737,8,8,46,46th,8/27,12/4
Aug,9,"11,791",11721,8,8,47,47th,8/9,11/16
Oct,1,"11,761",11720,8,10,48,48th,10/1,1/8
Jul,17,"11,957",11718,8,7,49,49th,7/17,10/24
Jul,23,"11,724",11699,8,7,50,50th,7/23,10/30
Aug,14,"11,899",11692,8,8,51,51st,8/14,11/21
Jul,22,"11,558",11686,8,7,52,52nd,7/22,10/29
Aug,18,"11,523",11681,8,8,53,53rd,8/18,11/25
Dec,21,"11,563",11680,8,12,54,54th,12/21,3/30
Jul,14,"11,518",11680,8,7,54,54th,7/14,10/21
Dec,18,"11,955",11675,8,12,56,56th,12/18,3/27
Oct,3,"11,911",11674,8,10,57,57th,10/3,1/10
Dec,27,"11,792",11665,8,12,58,58th,12/27,4/5
Jul,21,"11,510",11664,8,7,59,59th,7/21,10/28
Aug,23,"11,729",11655,8,8,60,60th,8/23,11/30
Aug,21,"11,880",11643,8,8,61,61st,8/21,11/28
Aug,19,"11,509",11637,8,8,62,62nd,8/19,11/26
Feb,14,"11,833",11636,8,2,63,63rd,2/14,5/24
Aug,26,"11,506",11620,8,8,64,64th,8/26,12/3
Jul,28,"11,449",11614,8,7,65,65th,7/28,11/4
Aug,5,"11,488",11610,8,8,66,66th,8/5,11/12
Aug,11,"11,441",11608,8,8,67,67th,8/11,11/18
Jul,24,"11,848",11607,8,7,68,68th,7/24,10/31
Jul,30,"11,653",11599,8,7,69,69th,7/30,11/6
Jul,29,"11,471",11593,8,7,70,70th,7/29,11/5
Jun,27,"11,829",11590,8,6,71,71st,6/27,10/4
Aug,7,"11,812",11589,8,8,72,72nd,8/7,11/14
Aug,6,"11,618",11586,8,8,73,73rd,8/6,11/13
Jul,26,"11,642",11581,8,7,74,74th,7/26,11/2
Aug,2,"11,645",11580,8,8,75,75th,8/2,11/9
Aug,25,"11,434",11576,8,8,76,76th,8/25,12/2
Oct,2,"11,836",11572,8,10,77,77th,10/2,1/9
