month_label,day,oldvalue,value,value_rank,month,rank,rank_label,birthdate,conception_date
Sep,29,"11,431",11572,8,9,77,77th,9/29,1/6
Aug,4,"11,404",11569,8,8,79,79th,8/4,11/11
Nov,21,"11,793",11567,8,11,80,80th,11/21,2/28
Jul,12,"11,622",11565,8,7,81,81st,7/12,10/19
Jun,28,"11,626",11557,8,6,82,82nd,6/28,10/5
Oct,10,"11,786",11556,8,10,83,83rd,10/10,1/17
Aug,31,"11,456",11555,8,8,84,84th,8/31,12/8
Sep,28,"11,471",11554,8,9,85,85th,9/28,1/5
Aug,17,"11,448",11548,8,8,86,86th,8/17,11/24
Jun,30,"11,402",11547,8,6,87,87th,6/30,10/7
Jul,19,"11,622",11545,8,7,88,88th,7/19,10/26
May,23,"11,774",11525,8,5,89,89th,5/23,8/30
Jul,31,"11,747",11516,8,7,90,90th,7/31,11/7
Sep,11,"11,737",11503,8,9,91,91st,9/11,12/19
Jun,20,"11,712",11502,8,6,92,92nd,6/20,9/27
Aug,10,"11,375",11491,7,8,93,93rd,8/10,11/17
Oct,4,"11,577",11490,7,10,94,94th,10/4,1/11
Sep,30,"11,371",11489,7,9,95,95th,9/30,1/7
Jul,6,"11,397",11487,7,7,96,96th,7/6,10/13
Dec,17,"11,537",11481,7,12,97,97th,12/17,3/26
Aug,13,"11,505",11468,7,8,98,98th,8/13,11/20
Aug,24,"11,341",11452,7,8,99,99th,8/24,12/1
Nov,20,"11,696",11442,7,11,100,100th,11/20,2/27
Dec,12,"11,683",11440,7,12,101,101st,12/12,3/21
Sep,5,"11,769",11431,7,9,102,102nd,9/5,12/13
Jul,20,"11,319",11428,7,7,103,103rd,7/20,10/27
Jul,27,"11,294",11410,7,7,104,104th,7/27,11/3
Jun,25,"11,447",11406,7,6,105,105th,6/25,10/2
Sep,7,"11,365",11398,7,9,106,106th,9/7,12/15
Dec,22,"11,253",11388,7,12,107,107th,12/22,3/31
Jun,26,"11,618",11374,7,6,108,108th,6/26,10/3
May,24,"11,444",11367,7,5,109,109th,5/24,8/31
Dec,16,"11,240",11352,7,12,110,110th,12/16,3/25
Jun,29,"11,259",11351,7,6,111,111th,6/29,10/6
Nov,1,"11,409",11350,7,11,112,112th,11/1,2/8
Jun,2,"11,183",11345,7,6,113,113th,6/2,9/9
Jun,18,"11,371",11339,7,6,114,114th,6/18,9/25
Oct,6,"11,183",11335,7,10,115,115th,10/6,1/13
Aug,3,"11,229",11332,7,8,116,116th,8/3,11/10
Jun,24,"11,207",11328,7,6,117,117th,6/24,10/1
Oct,7,"11,207",11324,7,10,118,118th,10/7,1/14
Oct,8,"11,348",11309,7,10,119,119th,10/8,1/15
Nov,7,"11,516",11308,7,11,120,120th,11/7,2/14
Jul,3,"11,568",11304,7,7,121,121st,7/3,10/10
Jun,21,"11,348",11298,7,6,122,122nd,6/21,9/28
Oct,17,"11,524",11296,7,10,123,123rd,10/17,1/24
Sep,6,"11,523",11293,7,9,124,124th,9/6,12/14
May,22,"11,510",11288,7,5,125,125th,5/22,8/29
Jun,14,"11,353",11288,7,6,125,125th,6/14,9/21
May,16,"11,517",11283,7,5,127,127th,5/16,8/23
Oct,24,"11,508",11276,7,10,128,128th,10/24,1/31
Oct,5,"11,181",11272,7,10,129,129th,10/5,1/12
Oct,11,"11,332",11268,7,10,130,130th,10/11,1/18
Jun,16,"11,126",11265,7,6,131,131st,6/16,9/23
Oct,15,"11,281",11261,7,10,132,132nd,10/15,1/22
Jun,3,"11,109",11256,7,6,133,133rd,6/3,9/10
Nov,19,"11,310",11255,7,11,134,134th,11/19,2/26
May,21,"11,288",11254,7,5,135,135th,5/21,8/28
Jun,17,"11,134",11253,7,6,136,136th,6/17,9/24
Dec,1,"11,067",11251,7,12,137,137th,12/1,3/10
Jun,23,"11,083",11244,6,6,138,138th,6/23,9/30
Nov,14,"11,468",11240,6,11,139,139th,11/14,2/21
Jun,6,"11,489",11240,6,6,139,139th,6/6,9/13
Nov,15,"11,291",11229,6,11,141,141st,11/15,2/22
Jun,10,"11,107",11222,6,6,142,142nd,6/10,9/17
Jun,4,"11,224",11221,6,6,143,143rd,6/4,9/11
Apr,4,"11,439",11219,6,4,144,144th,4/4,7/12
Sep,4,"11,391",11216,6,9,145,145th,9/4,12/12
Jun,12,"11,441",11196,6,6,146,146th,6/12,9/19
May,20,"11,059",11193,6,5,147,147th,5/20,8/27
Nov,5,"11,227",11191,6,11,148,148th,11/5,2/12
Dec,15,"11,045",11191,6,12,148,148th,12/15,3/24
Feb,15,"11,279",11188,6,2,150,150th,2/15,5/25
Oct,25,"11,249",11183,6,10,151,151st,10/25,2/1
Dec,2,"11,061",11182,6,12,152,152nd,12/2,3/11
Mar,21,"11,414",11181,6,3,153,153rd,3/21,6/28
Jul,13,"11,073",11181,6,7,153,153rd,7/13,10/20
Nov,8,"11,253",11180,6,11,155,155th,11/8,2/15
Jun,19,"11,388",11176,6,6,156,156th,6/19,9/26
Nov,18,"11,055",11173,6,11,157,157th,11/18,2/25
Jun,1,"11,067",11164,6,6,158,158th,6/1,9/8
Jun,5,"11,372",11164,6,6,158,158th,6/5,9/12
Jun,11,"11,204",11160,6,6,160,160th,6/11,9/18
Jun,7,"11,214",11160,6,6,160,160th,6/7,9/14
May,15,"11,392",11157,6,5,162,162nd,5/15,8/22
Oct,22,"11,207",11156,6,10,163,163rd,10/22,1/29
Oct,14,"11,035",11149,6,10,164,164th,10/14,1/21
Oct,18,"11,212",11149,6,10,164,164th,10/18,1/25
Feb,7,"11,316",11149,6,2,164,164th,2/7,5/17
Dec,3,"11,199",11142,6,12,167,167th,12/3,3/12
Nov,11,"11,022",11141,6,11,168,168th,11/11,2/18
Oct,9,"11,362",11137,6,10,169,169th,10/9,1/16
Mar,17,"10,998",11137,6,3,169,169th,3/17,6/24
Dec,5,"11,366",11132,6,12,171,171st,12/5,3/14
Nov,3,"10,995",11130,6,11,172,172nd,11/3,2/10
Jun,22,"11,010",11130,6,6,172,172nd,6/22,9/29
Nov,4,"11,018",11129,6,11,174,174th,11/4,2/11
Mar,1,"11,195",11129,6,3,174,174th,3/1,6/8
Nov,17,"10,986",11125,6,11,176,176th,11/17,2/24
May,17,"11,193",11122,6,5,177,177th,5/17,8/24
Mar,14,"11,368",11119,6,3,178,178th,3/14,6/21
Sep,3,"11,076",11119,6,9,178,178th,9/3,12/11
Oct,16,"11,342",11115,6,10,180,180th,10/16,1/23
May,2,"11,352",11113,6,5,181,181st,5/2,8/9
Feb,22,"11,201",11111,6,2,182,182nd,2/22,6/1
Oct,28,"11,003",11102,6,10,183,183rd,10/28,2/4
Mar,7,"11,305",11087,6,3,184,184th,3/7,6/14
Jun,9,"10,936",11083,6,6,185,185th,6/9,9/16
Nov,2,"10,976",11081,6,11,186,186th,11/2,2/9
Nov,6,"11,305",11081,6,11,186,186th,11/6,2/13
Jun,15,"10,969",11078,6,6,188,188th,6/15,9/22
Nov,12,"11,111",11077,6,11,189,189th,11/12,2/19
Mar,3,"10,971",11074,6,3,190,190th,3/3,6/10
May,5,"10,932",11073,6,5,191,191st,5/5,8/12
May,10,"11,151",11071,6,5,192,192nd,5/10,8/17
May,14,"11,097",11070,6,5,193,193rd,5/14,8/21
Oct,20,"10,923",11065,6,10,194,194th,10/20,1/27
Feb,8,"11,144",11063,6,2,195,195th,2/8,5/18
Apr,11,"11,305",11059,6,4,196,196th,4/11,7/19
Oct,21,"10,946",11057,6,10,197,197th,10/21,1/28
Feb,28,"11,227",11053,6,2,198,198th,2/28,6/7
Jan,24,"11,215",11049,6,1,199,199th,1/24,5/3
Oct,23,"11,286",11046,6,10,200,200th,10/23,1/30
Mar,28,"11,281",11045,6,3,201,201st,3/28,7/5
Jun,13,"11,254",11041,6,6,202,202nd,6/13,9/20
May,9,"11,280",11040,6,5,203,203rd,5/9,8/16
Nov,10,"10,914",11039,6,11,204,204th,11/10,2/17
Oct,27,"10,884",11032,6,10,205,205th,10/27,2/3
Jun,8,"10,914",11025,6,6,206,206th,6/8,9/15
Jan,10,"11,229",11023,6,1,207,207th,1/10,4/19
Nov,16,"10,931",11022,6,11,208,208th,11/16,2/23
Jan,4,"11,132",11019,6,1,209,209th,1/4,4/13
May,12,"10,870",11016,6,5,210,210th,5/12,8/19
Feb,10,"10,891",11015,6,2,211,211th,2/10,5/20
Feb,11,"11,032",11015,6,2,211,211th,2/11,5/21
Oct,12,"10,931",11014,6,10,213,213th,10/12,1/19
Oct,29,"11,062",11012,6,10,214,214th,10/29,2/5
Mar,15,"11,091",11011,6,3,215,215th,3/15,6/22
Feb,21,"11,174",11008,6,2,216,216th,2/21,5/31
Apr,18,"11,217",11004,6,4,217,217th,4/18,7/26
Apr,2,"11,047",11004,6,4,217,217th,4/2,7/10
Mar,12,"11,032",11003,6,3,219,219th,3/12,6/19
Mar,20,"11,235",11003,6,3,219,219th,3/20,6/27
May,1,"11,229",11002,6,5,221,221st,5/1,8/8
Sep,2,"10,779",11000,6,9,222,222nd,9/2,12/10
May,19,"10,858",10999,5,5,223,223rd,5/19,8/26
Apr,25,"11,234",10996,5,4,224,224th,4/25,8/2
Mar,4,"10,886",10989,5,3,225,225th,3/4,6/11
Dec,4,"11,201",10981,5,12,226,226th,12/4,3/13
Mar,5,"10,995",10979,5,3,227,227th,3/5,6/12
Jan,14,"10,997",10976,5,1,228,228th,1/14,4/23
Mar,8,"11,047",10976,5,3,228,228th,3/8,6/15
Jan,11,"11,051",10975,5,1,230,230th,1/11,4/20
Feb,25,"10,995",10974,5,2,231,231st,2/25,6/4
Mar,25,"10,879",10974,5,3,231,231st,3/25,7/2
Mar,22,"11,032",10967,5,3,233,233rd,3/22,6/29
Dec,6,"11,001",10958,5,12,234,234th,12/6,3/15
May,8,"11,197",10955,5,5,235,235th,5/8,8/15
Mar,18,"10,833",10954,5,3,236,236th,3/18,6/25
Jan,5,"10,865",10953,5,1,237,237th,1/5,4/14
Apr,12,"11,043",10953,5,4,237,237th,4/12,7/20
Dec,14,"10,837",10952,5,12,239,239th,12/14,3/23
Jan,25,"11,023",10951,5,1,240,240th,1/25,5/4
Dec,10,"11,010",10951,5,12,240,240th,12/10,3/19
Feb,2,"10,863",10949,5,2,242,242nd,2/2,5/12
May,6,"10,851",10949,5,5,242,242nd,5/6,8/13
Feb,16,"10,846",10948,5,2,244,244th,2/16,5/26
May,7,"10,978",10945,5,5,245,245th,5/7,8/14
Feb,18,"10,930",10940,5,2,246,246th,2/18,5/28
Mar,10,"10,800",10940,5,3,246,246th,3/10,6/17
Jan,12,"10,825",10934,5,1,248,248th,1/12,4/21
Mar,11,"10,808",10931,5,3,249,249th,3/11,6/18
Sep,1,"10,721",10930,5,9,250,250th,9/1,12/9
Feb,1,"11,016",10929,5,2,251,251st,2/1,5/11
Oct,26,"10,832",10928,5,10,252,252nd,10/26,2/2
Nov,9,"10,830",10927,5,11,253,253rd,11/9,2/16
Feb,23,"10,813",10927,5,2,253,253rd,2/23,6/2
Jan,7,"10,961",10925,5,1,255,255th,1/7,4/16
Mar,24,"10,783",10921,5,3,256,256th,3/24,7/1
Mar,6,"11,121",10921,5,3,256,256th,3/6,6/13
Mar,19,"10,943",10914,5,3,258,258th,3/19,6/26
Jan,6,"10,791",10911,5,1,259,259th,1/6,4/15
Apr,16,"10,959",10909,5,4,260,260th,4/16,7/24
Feb,4,"10,909",10905,5,2,261,261st,2/4,5/14
Feb,24,"10,777",10904,5,2,262,262nd,2/24,6/3
May,3,"10,978",10903,5,5,263,263rd,5/3,8/10
Jan,17,"11,065",10901,5,1,264,264th,1/17,4/26
May,30,"11,216",10901,5,5,264,264th,5/30,9/6
Apr,5,"10,960",10900,5,4,266,266th,4/5,7/13
Apr,3,"11,124",10899,5,4,267,267th,4/3,7/11
May,18,"10,796",10899,5,5,267,267th,5/18,8/25
Feb,12,"10,990",10898,5,2,269,269th,2/12,5/22
Apr,17,"11,141",10897,5,4,270,270th,4/17,7/25
Mar,27,"11,113",10895,5,3,271,271st,3/27,7/4
Dec,8,"10,748",10893,5,12,272,272nd,12/8,3/17
Feb,9,"10,784",10893,5,2,272,272nd,2/9,5/19
Apr,19,"10,959",10891,5,4,274,274th,4/19,7/27
Apr,8,"10,795",10890,5,4,275,275th,4/8,7/16
Mar,26,"10,926",10888,5,3,276,276th,3/26,7/3
Feb,20,"10,971",10886,5,2,277,277th,2/20,5/30
Jan,18,"10,969",10883,5,1,278,278th,1/18,4/27
Jan,31,"11,051",10883,5,1,278,278th,1/31,5/10
Dec,11,"11,131",10883,5,12,278,278th,12/11,3/20
Apr,15,"10,765",10883,5,4,278,278th,4/15,7/23
Apr,26,"10,944",10882,5,4,282,282nd,4/26,8/3
Apr,22,"10,753",10877,5,4,283,283rd,4/22,7/30
Mar,29,"10,916",10873,5,3,284,284th,3/29,7/6
Jan,23,"10,917",10865,5,1,285,285th,1/23,5/2
Apr,23,"10,895",10864,5,4,286,286th,4/23,7/31
Apr,7,"10,715",10859,5,4,287,287th,4/7,7/15
Feb,27,"10,926",10858,5,2,288,288th,2/27,6/6
Nov,30,"10,732",10855,5,11,289,289th,11/30,3/9
Dec,13,"10,906",10855,5,12,289,289th,12/13,3/22
Feb,17,"10,690",10854,5,2,291,291st,2/17,5/27
Oct,19,"10,753",10850,5,10,292,292nd,10/19,1/26
Dec,9,"10,749",10849,5,12,293,293rd,12/9,3/18
Apr,24,"11,074",10845,5,4,294,294th,4/24,8/1
Jan,26,"10,718",10843,5,1,295,295th,1/26,5/5
Feb,3,"10,694",10843,5,2,295,295th,2/3,5/13
Jan,28,"10,847",10835,5,1,297,297th,1/28,5/7
Apr,9,"10,878",10830,5,4,298,298th,4/9,7/17
May,25,"10,773",10827,5,5,299,299th,5/25,9/1
Apr,10,"11,073",10826,5,4,300,300th,4/10,7/18
Jan,20,"10,684",10825,5,1,301,301st,1/20,4/29
Jan,21,"10,813",10824,5,1,302,302nd,1/21,4/30
Jan,27,"10,696",10823,5,1,303,303rd,1/27,5/6
Apr,21,"10,641",10817,5,4,304,304th,4/21,7/29
Oct,30,"11,044",10815,5,10,305,305th,10/30,2/6
Jan,3,"11,024",10813,5,1,306,306th,1/3,4/12
Apr,14,"10,669",10812,5,4,307,307th,4/14,7/22
Apr,28,"10,663",10803,5,4,308,308th,4/28,8/5
Mar,2,"10,712",10802,5,3,309,309th,3/2,6/9
May,28,"10,744",10797,5,5,310,310th,5/28,9/4
Feb,6,"10,865",10794,5,2,311,311th,2/6,5/16
May,29,"10,945",10782,5,5,312,312th,5/29,9/5
Mar,31,"10,620",10779,5,3,313,313th,3/31,7/8
Mar,16,"10,692",10773,5,3,314,314th,3/16,6/23
Oct,13,"10,615",10768,5,10,315,315th,10/13,1/20
Mar,9,"10,685",10765,5,3,316,316th,3/9,6/16
Nov,29,"10,761",10764,5,11,317,317th,11/29,3/8
Jan,30,"10,819",10752,4,1,318,318th,1/30,5/9
May,11,"10,650",10744,4,5,319,319th,5/11,8/18
Nov,13,"10,959",10742,4,11,320,320th,11/13,2/20
Dec,7,"10,639",10741,4,12,321,321st,12/7,3/16
Mar,23,"10,654",10739,4,3,322,322nd,3/23,6/30
Apr,29,"10,633",10735,4,4,323,323rd,4/29,8/6
Apr,30,"10,775",10731,4,4,324,324th,4/30,8/7
Feb,26,"10,819",10727,4,2,325,325th,2/26,6/5
May,31,"10,900",10719,4,5,326,326th,5/31,9/7
May,4,"10,621",10717,4,5,327,327th,5/4,8/11
Mar,30,"10,595",10714,4,3,328,328th,3/30,7/7
Apr,20,"10,599",10714,4,4,328,328th,4/20,7/28
May,13,"10,598",10697,4,5,330,330th,5/13,8/20
May,27,"10,449",10693,4,5,331,331st,5/27,9/3
Jan,19,"10,607",10691,4,1,332,332nd,1/19,4/28
Feb,5,"10,773",10685,4,2,333,333rd,2/5,5/15
Jan,22,"10,756",10673,4,1,334,334th,1/22,5/1
Feb,19,"10,736",10673,4,2,334,334th,2/19,5/29
Nov,22,"10,619",10664,4,11,336,336th,11/22,3/1
Apr,27,"10,569",10664,4,4,336,336th,4/27,8/4
Mar,13,"10,872",10654,4,3,338,338th,3/13,6/20
Apr,6,"10,543",10639,4,4,339,339th,4/6,7/14
Jan,9,"10,687",10624,4,1,340,340th,1/9,4/18
Jan,16,"10,688",10623,4,1,341,341st,1/16,4/25
Jan,13,"10,495",10622,4,1,342,342nd,1/13,4/22
Jan,8,"10,715",10610,4,1,343,343rd,1/8,4/17
Feb,13,"10,692",10604,4,2,344,344th,2/13,5/23
Jan,29,"10,662",10567,4,1,345,345th,1/29,5/8
Jan,15,"10,617",10546,4,1,346,346th,1/15,4/24
Feb,29,"10,701",10462,3,2,347,347th,2/29,6/8
Jul,5,"10,519",10404,3,7,348,348th,7/5,10/12
May,26,"10,211",10401,3,5,349,349th,5/26,9/2
Dec,31,"10,462",10394,3,12,350,350th,12/31,4/9
Apr,13,"10,265",10389,3,4,351,351st,4/13,7/21
Dec,23,"10,286",10338,3,12,352,352nd,12/23,4/1
Apr,1,"10,166",10300,3,4,353,353rd,4/1,7/9
Nov,28,"10,205",10096,3,11,354,354th,11/28,3/7
Nov,26,"10,242",10044,3,11,355,355th,11/26,3/5
Nov,24,"9,956",10015,3,11,356,356th,11/24,3/3
Oct,31,"10,147",9978,2,10,357,357th,10/31,2/7
Nov,25,"10,049",9954,2,11,358,358th,11/25,3/4
Nov,23,"9,650",9883,2,11,359,359th,11/23,3/2
Nov,27,"9,936",9718,2,11,360,360th,11/27,3/6
Dec,26,"9,740",9543,2,12,361,361st,12/26,4/4
Jan,2,"9,437",9307,2,1,362,362nd,1/2,4/11
Jul,4,"8,915",8796,1,7,363,363rd,7/4,10/11
Dec,24,"8,098",8069,1,12,364,364th,12/24,4/2
Jan,1,"7,849",7792,1,1,365,365th,1/1,4/10
Dec,25,"6,596",6574,1,12,366,366th,12/25,4/3
